ticker,date,setup,grade,cap,status,open_px,close_px,day_low,pm_high,open_to_low_pct,n_rth_bars,overnight_gap_pct,next_day_open_to_low_pct,hold_cc_pct,csv_open_low
QS,2020-12-23,GapDownTrendBreak,B,Medium,OK,122.02,110.9,103.1,138.0,15.51,390,-3.61,2.44,-3.49,-15.5
BBBY,2021-01-25,3DGapFade,A,Medium,OK,31.67,27.89,27.55,32.27,13.0,390,1.6,4.67,-20.18,-13.0
PLTR,2021-01-28,GapDownTrendBreak,B,Medium,OK,39.54,35.73,33.1,43.8,16.29,390,-2.46,5.33,1.54,-16.3
BBBY,2021-01-28,GapDownTrendBreak,B,Medium,OK,37.53,30.54,27.35,52.73,27.13,390,-21.02,20.68,-5.16,-27.1
AMC,2021-01-28,GapDownTrendBreak,A,Medium,OK,119.8,86.76,65.1,230.0,45.66,337,-64.95,18.94,-52.84,-45.7
CCIV,2021-02-19,GapDownTrendBreak,C,Medium,OK,60.09,52.91,50.32,62.45,16.26,386,-18.82,10.8,-8.43,-16.3
GME,2021-03-10,3DGapFade,A,Medium,OK,67.36,65.76,43.0,73.98,36.16,362,8.14,3.74,1.16,-36.2
BBBY,2021-06-03,GapDownTrendBreak,B,Medium,OK,35.03,28.99,28.86,41.81,17.6,390,-1.46,5.86,0.56,-17.6
WISH,2021-06-09,2DGapFade,A,Medium,OK,440.1,318.0,307.5,529.5,30.13,390,-4.43,7.86,-0.85,-30.1
CLOV,2021-06-09,3DGapFade,A,Medium,OK,28.0,16.97,16.8,28.31,40.0,390,-6.6,23.11,15.5,-40.0
CEI,2022-03-08,3DGapFade,B,Micro,OK,83.5,61.97,50.0,88.5,40.12,390,14.47,4.72,13.67,-40.1
USEG,2022-03-08,3DGapFade,C,Micro,OK,10.03,7.34,6.33,10.74,36.89,366,19.62,3.05,3.68,-36.9
USWS,2022-03-08,3DGapFade,A,Micro,OK,19.2,10.62,8.64,23.58,55.0,390,7.91,33.74,27.68,-55.0
IMPP,2022-03-08,3DGapFade,B,Micro,OK,136.95,63.75,55.65,146.25,59.36,365,-6.12,4.21,-19.06,-59.4
HUSA,2022-03-08,2DGapFade,A,Micro,OK,159.1,69.9,59.1,173.0,62.85,336,13.45,7.6,-10.16,-62.9
INDO,2022-03-08,GapDownTrendBreak,A,Micro,OK,73.91,30.82,30.82,81.07,58.3,368,1.4,7.04,-9.18,-58.3
GME,2022-03-29,3DGapFade,A,Medium,OK,47.06,44.97,40.75,48.28,13.41,386,2.72,5.71,7.25,-13.4
COIN,2022-08-04,3DGapFade,A,Medium,OK,106.1,88.94,86.78,112.0,18.2,386,2.65,0.07,-4.62,-18.2
SMH,2023-05-30,3DGapFade,A,ETF,OK,150.65,148.13,147.5,151.23,2.09,390,1.61,1.14,2.57,-2.1
AVGO,2023-05-30,3DGapFade,A,Large,OK,83.51,80.2,79.88,83.8,4.35,390,0.89,0.6,-0.74,-4.3
TSLA,2023-06-21,2DGapFade,A,Large,OK,275.13,259.46,257.78,279.54,6.31,390,3.35,1.0,-1.98,-6.3
JOBY,2023-06-29,2DGapFade,A,Medium,OK,10.75,9.98,9.57,11.07,10.98,390,-1.3,1.78,-2.81,-11.0
MULN,2023-07-06,2DGapFade,B,Micro,OK,15282000000.0,11923200000.0,10967400000.0,16200000000.0,28.23,390,-2.72,18.21,13.09,-28.2
RIVN,2023-07-10,2DGapFade,B,Medium,OK,25.52,25.48,23.58,25.98,7.6,390,2.65,2.02,2.49,-7.6
COIN,2023-07-12,2DGapFade,B,Medium,OK,89.0,85.96,84.45,91.0,5.11,390,0.72,2.26,-24.48,-5.1
MARA,2023-07-14,2DGapFade,B,Medium,OK,19.13,18.09,17.87,19.46,6.59,390,-0.5,6.77,4.59,-6.6
RIOT,2023-07-14,2DGapFade,B,Medium,OK,20.25,19.14,18.77,21.02,7.31,390,-0.13,5.01,3.47,-7.3
NKLA,2023-07-14,2DGapFade,A,Small,OK,82.05,67.2,59.7,84.9,27.24,390,2.68,7.34,-4.02,-27.2
NVDA,2024-02-06,3DGapFade,B,Large,OK,69.63,68.22,66.3,71.22,4.78,390,-0.15,1.05,-2.76,-4.8
SMCI,2024-02-16,3DGapFade,A,Large,OK,104.55,80.31,80.11,108.0,23.37,390,1.63,12.34,1.93,-23.4
NVDA,2024-03-08,3DGapFade,A,Large,OK,95.14,87.5,86.51,95.9,9.07,390,1.23,2.62,1.97,-9.1
NVDA,2024-06-06,2DGapFade,B,Large,OK,124.05,120.94,118.32,125.2,4.62,390,0.97,1.46,0.04,-4.6
NVDA,2024-06-20,2DGapFade,A,Large,OK,139.8,130.72,129.52,141.6,7.35,390,2.75,2.22,3.17,-7.4
MU,2024-06-20,3DGapFade,B,Large,OK,157.01,144.15,142.91,158.37,8.98,390,4.51,1.42,3.2,-9.0
KWEB,2024-09-30,3DGapFade,A,ETF,OK,35.58,33.97,33.91,36.76,4.69,390,-0.68,0.44,-6.15,-4.7
VXX,2024-08-05,3DGapFade,A,ETF,OK,90.08,88.62,72.37,94.5,19.66,386,12.57,19.98,20.48,-19.7
TEM,2024-08-20,3DGapFade,A,Medium,OK,58.0,58.71,56.94,58.3,1.83,362,-2.2,-0.0,-21.73,-1.8
PHUN,2024-10-24,GapDownTrendBreak,B,Small,OK,12.5,8.44,8.38,14.6,32.96,390,-8.89,0.44,-25.59,-33.0
DJT,2024-10-29,3DGapFade,A,Medium,OK,53.75,51.57,43.52,57.5,19.03,370,7.83,18.03,22.38,-19.0
IONQ,2024-10-29,GapDownTrendBreak,B,Medium,OK,17.5,16.74,15.73,18.2,10.11,390,5.85,-0.0,-0.78,-10.1
DXYZ,2024-11-11,3DGapFade,A,Small,OK,47.49,42.5,36.88,49.8,22.34,385,14.38,17.5,28.47,-22.3
TSLA,2024-11-12,GapDownTrendBreak,A,Large,OK,342.74,328.24,323.31,362.8,5.67,390,-2.32,3.97,-0.61,-5.7
