date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?
5/28/2021,F,Large,3DGapFade,5,A+,GO,0.1268,1.68,2.98,2,0.0087,0.1616,0.2589,0.2167,0.213,14.88,0.0371,,
2/25/2021,MRO,Medium,3DGapFade,5,A+,GO,0.1732,2,1.98,4,0.0135,0.1608,0.5179,0.4112,0.4899,11.84,0.0607,,
8/27/2021,DVAX,Medium,3DGapFade,5,A+,GO,0.2268,1.55,2.84,5,0.0298,0.1599,0.6341,0.867,0.6689,17.55,0.0658,,
6/2/2021,BB,Medium,3DGapFade,5,A+,GO,0.1959,1.61,4.54,4,0.1168,0.1595,0.3928,0.408,0.2893,11.56,0.0587,N,
10/13/2021,AZPN,Medium,3DGapFade,5,A+,GO,0.1573,1.73,2.29,4,0.0149,0.1588,0.3162,0.2666,0.2478,164.03,0.0333,N,
6/7/2021,TIGR,Medium,3DGapFade,5,A+,GO,0.1634,1.6,1.72,2,0.0063,0.1578,0.5902,0.2757,0.4142,26.7,0.0777,,
3/8/2021,MTDR,Medium,3DGapFade,5,A+,GO,0.1668,1.37,1.89,3,0.0101,0.1559,0.3453,0.7781,0.544,26.69,0.0662,,
5/20/2021,UPST,Medium,3DGapFade,5,A+,GO,0.2135,1.9,1.93,4,0.0157,0.1557,0.2243,0.0777,0.2336,132.91,0.1121,,
3/15/2021,GPRO,Medium,3DGapFade,5,A+,GO,0.1885,1.97,2.46,4,0.0572,0.1547,0.3539,0.2011,0.2422,10.75,0.0657,,
6/8/2021,CCIV,Medium,3DGapFade,5,A+,GO,0.1685,1.53,1.91,2,0.0302,0.1542,0.4473,0.1102,0.2638,26.5,0.0552,N,2DBreakoutIB
11/18/2021,RBLX,Medium,3DGapFade,5,A+,GO,0.1865,1.04,2.12,5,0.0367,0.154,0.5069,0.6671,0.4985,124.7,0.0719,,
1/15/2021,CRON,Medium,3DGapFade,5,A+,GO,0.1789,1.08,1.87,2,0.0213,0.1537,0.4661,0.317,0.4231,11.26,0.059,,
1/20/2021,PLL,Medium,3DGapFade,5,A+,GO,0.2232,1.6,1.56,5,0.0611,0.1532,0.6434,0.8169,0.607,46.13,0.0854,,
9/1/2021,DVAX,Medium,3DGapFade,5,A+,GO,0.1957,1.22,1.7,2,0.0349,0.1508,0.6043,1.0083,0.7594,19.46,0.0733,,
1/22/2021,F,Large,3DGapFade,5,A+,GO,0.1305,2.35,3.39,3,0.0113,0.1507,0.3014,0.2465,0.2654,11.53,0.038,,
1/19/2021,HEXO,Medium,3DGapFade,5,A+,GO,0.2476,1.74,1.89,10,0.0222,0.1499,0.7759,0.5406,0.7963,100.94,0.0829,,
11/2/2021,IONQ,Medium,3DGapFade,5,A+,GO,0.2372,1.82,1.9,6,0.0192,0.1489,0.8359,,,15.66,0.0901,,
5/26/2021,RETA,Medium,3DGapFade,5,A+,GO,0.2043,1.9,2.08,2,0.0203,0.148,0.4001,0.4196,0.3128,127.41,0.0606,,
