date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position
2024-12-13,FUTU,Medium,GapFade_strongstock,3,F,NO-GO,-0.06329670329670335,3,-0.2381122631390776,-0.008681370248709467,0.43987268281354525,0.7772834907465793,0.17563860008806254,-0.10474692086084621,-0.020004598758335355,0.006494273231786482,-0.10264238340877987,-0.3468199233716476,85.24,0.061341925320104594,0.0241420118343196,0.031958025280229035,0.8730494836629016
2024-12-16,SMCX,Medium,GapFade_strongstock,6,A,GO,-0.3015625,4,-0.4286242439915085,-0.27723283427981416,0.40345035190328077,0.7532162737287609,,-0.4283617562111924,-0.09471880355195511,0.0652612282309808,0.37701421800947854,-0.8590247452692867,58.11,0.26684723553851075,0.15119047619047624,0.16253907189228173,0.5236250968241672
2024-12-16,NVDX,Medium,GapFade_strongstock,4,C,NO-GO,-0.04247787610619463,2,-0.24186865596345278,-0.002766481823783237,1.4807340453338023,1.1678261358704807,0.14477527877887816,-0.10186102364601252,-0.07257142857142855,-0.12080173347778983,-0.050321825629022786,-0.2709877375016844,16.23,0.07240251738403308,-0.03213449407170789,0.024525833878351864,0.39473684210526344
2024-12-16,SMR,Medium,GapFade_strongstock,4,C,NO-GO,-0.08090474119182252,2,-0.34582043343653246,-0.04022716516800747,0.45400903141488974,0.647903305900293,0.827672852614143,-0.007711019902133022,-0.05669642857142856,-0.30056272757365116,0.11152025249868476,-0.34582043343653246,21.13,0.13863971333919278,0.0710059171597632,0.12132163138874537,0.9108527131782943
2024-12-16,SMCI,Medium,GapFade_weakstock,3,F,NO-GO,-0.15994468771606354,4,-0.24062499999999995,-0.13566529492455429,0.45059542967492777,0.5428156830905142,-0.45386518673371856,-0.012770337066478852,-0.04805432227735692,0.09954751131221733,0.39923224568138205,-0.7034174125305126,36.45,0.12177150695669209,0.061418822409141365,0.07179487179487175,0.5358851674641141
2024-12-16,NVDL,Medium,GapFade_strongstock,4,C,NO-GO,-0.04391217564870257,2,-0.24062960027176988,-0.0014912019087385702,1.4783852161478388,1.1923817139365394,0.14750302674029414,-0.10001798353567053,-0.07324488667772246,-0.11867525298988041,-0.047172492185279816,-0.2687022900763359,67.06,0.07262419581611351,-0.03181003584229384,0.02498023715415017,0.4020356234096681
2024-12-16,NVDU,Medium,GapFade_strongstock,4,C,NO-GO,-0.04355260510963587,2,-0.33279539713724393,-0.000946471763592422,1.184591763554827,1.0905190571093797,0.0169534122722609,-0.20529989503172452,-0.18643052703627647,-0.22565146579804557,-0.1627190279123007,-0.3525566827806904,95.09,0.09143946336553337,-0.031578947368421054,0.025412394115024533,0.4100719424460432
2024-12-17,NVDX,Medium,GapFade_strongstock,5,B,CAUTION,-0.07581120943952803,3,-0.2682607822345957,-0.043089690392594894,0.8418201036767912,1.2404737250057662,0.10216115756120206,-0.13389875489307107,-0.07798705120659208,-0.07142857142857154,-0.0924101969872539,-0.2963661680815704,15.665,0.07204003465414253,0.019346230820546973,0.058157089236991075,0.7500223274091262
2024-12-17,NVDL,Medium,GapFade_strongstock,5,B,CAUTION,-0.07570573139435419,3,-0.26588155361793686,-0.044423877834335886,0.8403528198862131,1.2408249013450667,0.10656435808091501,-0.130788042603855,-0.07767819035424679,-0.06973740852346104,-0.08792909397861565,-0.29302071973827704,64.83,0.07213646680328774,0.02001614205004027,0.05721934080642453,0.7418816026377996
2024-12-17,BEKE,Medium,GapFade_strongstock,4,C,NO-GO,-0.05181086519114676,3,-0.23280423280423276,-0.007957559681697726,0.5560747663551419,0.9144417874242289,0.13400170250653487,-0.08930158852858198,-0.0617222498755599,0.024456521739130592,-0.14975191700496165,-0.27625263966212327,18.85,0.04865479348237969,0.016577540106951994,0.02314316469321869,0.5308641975308668
2024-12-17,TMDX,Medium,GapFade_weakstock,3,F,NO-GO,-0.1004342344866228,5,-0.3505258899676375,-0.04515727187791963,0.5713096848018313,0.7501881804367613,-0.4702126615214103,-0.32621073803111267,-0.02267539187338297,-0.18274370068719775,-0.24420383664822878,-0.6379320065400012,64.22,0.07484428526938648,0.0715101108936725,0.08067434210526318,0.8696808510638299
2024-12-17,MSTZ,Large,GapFade_weakstock,3,F,NO-GO,-0.053324333445831956,2,-0.8651442307692307,-0.02376708259061192,0.6658661513349223,0.5824918695711363,,-0.7960345134326362,-0.07527472527472533,-0.17500000000000002,-0.8629478827361564,-0.9672440638380693,16.83,0.22620745267804093,0.13329275715155212,0.1439595006389462,0.9832158442430349
