date,ticker,is_capitulation,capitulation_score,large_down_move,volume_spike,close_at_lows,range_expansion,vix_spike,trade_grade,cap,setup,pct_change_3,gap_pct,reversal_open_close_pct,reversal_open_low_pct
2023-01-31,CVNA,True,65,True,False,True,True,False,B,Medium,2DBreakoutIB,0.108,0.108,-0.082129964,-0.175541516
2023-05-30,SMH,False,15,False,False,False,True,False,A,ETF,3DGapFade,0.022326276,0.022326276,-0.017125788,-0.020909393
2023-05-30,AVGO,False,35,False,False,True,True,False,A,Large,3DOpenDrive,0.027549125,0.027549125,-0.038054411,-0.043478781
2023-06-07,PLTR,True,90,True,True,True,True,False,A,Medium,1DBreakoutIB,0.050524934,0.035575679,-0.08244847,-0.093066833
2023-06-16,AI,False,50,True,False,True,False,False,B,Medium,2DBreakoutIB,0.122941313,0.043993962,-0.080975005,-0.102871308
2023-06-21,TSLA,True,65,True,False,True,True,False,A,Large,2DGapFade,0.002477683,0.002477683,-0.056954894,-0.063061098
2023-06-29,JOBY,True,65,True,False,True,True,False,A,Medium,2DGapFade,0.695583596,0.199776786,-0.071627907,-0.109767442
2023-07-06,MULN,False,50,True,False,True,False,False,B,Micro,2DGapFade,1.804757185,0.655939146,-0.220848057,-0.282332155
2023-07-10,RIVN,False,30,True,False,False,False,False,B,Medium,2DGapFade,0.033198381,0.033198381,-0.00039185,-0.076018809
2023-07-12,COIN,False,50,True,False,True,False,False,B,Medium,2DGapFade,0.095924147,-0.001682557,-0.034269663,-0.051123596
2023-07-14,MARA,False,50,True,False,True,False,False,B,Medium,2DGapFade,0.100057504,-0.00880829,-0.05541035,-0.065865133
2023-07-14,RIOT,True,65,True,False,True,True,False,B,Medium,2DGapFade,0.15648201,-0.001971414,-0.055802469,-0.07308642
2023-07-14,NKLA,True,65,True,False,True,True,False,A,Small,2DGapFade,0.939716312,0.231981982,-0.177330896,-0.272394881
2023-08-02,UPST,False,40,True,False,False,False,True,B,Medium,ConsolidationBreakdown,0.005604892,-0.041822722,-0.015707564,-0.06159971
2023-12-29,BITO,False,0,False,False,False,False,False,B,ETF,ConsolidationBreakdown,0.015012107,0.006724304,-0.022423664,-0.035305344
2023-12-29,MSTR,True,65,True,False,True,True,False,B,Medium,ConsolidationBreakdown,0.117471725,0.010406061,-0.064030941,-0.085443741
2023-12-29,COIN,True,65,True,False,True,True,False,B,Medium,ConsolidationBreakdown,0.081429817,-0.001609788,-0.06524777,-0.080941632
2023-12-29,MARA,True,65,True,False,True,True,False,B,Medium,ConsolidationBreakdown,0.073813056,0.029882604,-0.188601036,-0.203799655
2024-01-11,BITO,True,65,True,False,True,True,False,B,ETF,,0.013129103,0.035330948,-0.035421166,-0.050107991
2024-01-11,MSTR,True,65,True,False,True,True,False,B,Medium,,0.001638769,0.058903601,-0.104859847,-0.114676372
2024-01-11,COIN,True,65,True,False,True,True,False,B,Medium,,-0.00144273,0.052217595,-0.113260883,-0.120484955
2024-01-11,MARA,True,65,True,False,True,True,False,B,Medium,,0.050423403,0.06476785,-0.179186515,-0.239648223
2024-01-18,AMD,False,15,False,False,False,True,False,C,Large,1DBreakoutIB,0.046995086,0.0376475,-0.021239471,-0.04801444
2024-01-25,AMD,False,0,False,False,False,False,False,C,Large,2DBreakoutIB,0.090557736,0.028717258,-0.016792977,-0.031514094
2024-02-06,NVDA,False,15,False,False,False,True,False,B,Large,3DGapFade,0.00429816,0.00429816,-0.020206807,-0.047824214
2024-02-06,SMCI,False,30,True,False,False,False,False,D,Medium,2DBreakoutIB,0.014547373,0.014547373,0.012763744,-0.070118871
2024-02-12,NVDA,False,0,False,False,False,False,False,C,Large,2DBreakoutIB,0.006474152,0.006474152,-0.004848485,-0.018595041
2024-02-12,SMCI,False,0,False,False,False,False,False,C,Large,2DBreakoutIB,0.028434803,0.028434803,0.015328237,-0.021370216
2024-02-16,SMCI,True,65,True,False,True,True,False,A,Large,3DGapFade,0.320926354,0.041334661,-0.231640363,-0.233715925
2024-03-08,NVDA,True,65,True,False,True,True,False,A,Large,3DGapFade,0.106717928,0.026642135,-0.079988101,-0.090730403
2024-06-06,NVAX,True,65,True,False,True,True,False,B,Medium,2DBreakoutIB,0.302963776,0.132093467,-0.176284751,-0.187868576
2024-06-06,NVDA,False,15,False,False,False,True,False,B,Large,2DGapFade,0.078678261,0.013132963,-0.024587257,-0.046175674
2024-06-20,NVDA,True,65,True,False,True,True,False,A,Large,2DGapFade,0.067338525,0.031125535,-0.064520744,-0.073533619
2024-06-20,MU,True,65,True,False,True,True,False,B,Large,3DGapFade,0.062098356,0.023199739,-0.08165085,-0.089803197
2024-06-20,AVGO,False,35,False,False,True,True,False,A,Large,3DGapFade,-0.013893825,0.000521492,-0.038204341,-0.045046743
2024-09-30,KWEB,False,35,False,False,True,True,False,A,ETF,3DGapFade,0.048629531,0.048629531,-0.043844857,-0.046936481
2024-08-05,VXX,True,65,True,False,True,True,False,A,ETF,3DGapFade,0.437141034,0.437141034,-0.031305506,-0.19660302
2024-09-30,BEKE,True,90,True,True,True,True,False,A,Medium,1DMeanRevert,0.112,0.112,-0.104766187,-0.110161871
2024-08-20,TEM,False,25,False,True,False,False,False,A,Medium,3DOpenDrive,0.006769658,0.006769658,0.012241379,-0.018275862
