ticker,date,cap,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,made_new_hod,mae_pct,fwd_to_low_pct,fwd_30min_pct
CODX,2020-02-28,Micro,15:45,384.6,40.84,-41.06,-19.39,False,0.37,0.16,-2.96
PLTR,2020-11-27,Medium,09:30,31.84,-2.07,-0.26,0.63,False,2.34,17.96,1.72
PLTR,2020-11-27,Medium,09:45,32.19,-3.19,-3.92,-0.85,True,7.41,18.85,6.32
PLTR,2020-11-27,Medium,10:00,31.29,-0.32,-6.6,-2.94,True,7.41,16.52,1.34
PLTR,2020-11-27,Medium,10:30,30.87,1.03,-7.85,-2.01,True,7.41,15.39,1.23
PLTR,2020-11-27,Medium,11:00,30.49,2.24,-8.99,-2.58,True,7.41,14.33,6.27
PLTR,2020-11-27,Medium,11:30,28.58,8.37,-14.69,-7.89,True,7.41,8.6,-0.99
PLTR,2020-11-27,Medium,12:00,28.86,7.46,-13.85,-4.52,True,7.41,5.27,1.76
PLTR,2020-11-27,Medium,13:00,27.66,11.32,-17.43,-7.45,True,7.41,-0.0,-0.0
PLTR,2020-11-27,Medium,14:00,27.66,11.32,-17.43,-7.45,True,7.41,-0.0,-0.0
PLTR,2020-11-27,Medium,15:00,27.66,11.32,-17.43,-7.45,True,7.41,-0.0,-0.0
PLTR,2020-11-27,Medium,15:45,27.66,11.32,-17.43,-7.45,True,7.41,-0.0,-0.0
MRNA,2020-12-01,Medium,09:30,174.2,1.95,-2.14,-0.24,False,0.19,25.18,2.61
MRNA,2020-12-01,Medium,09:45,169.1,4.82,-5.27,-2.07,True,0.47,22.93,-0.72
MRNA,2020-12-01,Medium,10:00,169.65,4.51,-4.96,-1.36,True,0.47,23.18,2.19
MRNA,2020-12-01,Medium,10:30,165.94,6.6,-7.04,-2.89,True,0.47,21.46,4.31
MRNA,2020-12-01,Medium,11:00,158.79,10.62,-11.04,-5.34,True,0.47,17.92,-2.28
MRNA,2020-12-01,Medium,11:30,162.41,8.58,-9.01,-2.73,True,0.47,19.75,3.23
MRNA,2020-12-01,Medium,12:00,157.16,11.54,-11.95,-5.48,True,0.47,17.07,0.81
MRNA,2020-12-01,Medium,13:00,140.08,21.15,-21.52,-13.55,True,0.47,6.96,-2.76
MRNA,2020-12-01,Medium,14:00,142.24,19.94,-20.31,-9.67,True,0.47,8.37,4.44
MRNA,2020-12-01,Medium,15:00,132.71,25.3,-25.65,-14.06,True,0.47,1.79,-4.4
MRNA,2020-12-01,Medium,15:45,141.51,20.35,-20.72,-7.31,True,0.47,1.97,0.32
BBBY,2021-01-25,Medium,09:30,32.86,-3.75,-0.26,1.42,False,4.02,16.14,-8.23
BBBY,2021-01-25,Medium,09:45,35.34,-11.57,-6.9,-0.26,True,19.83,22.02,-13.27
BBBY,2021-01-25,Medium,10:00,35.56,-12.28,-6.3,0.09,True,19.83,22.52,-10.76
BBBY,2021-01-25,Medium,10:30,39.39,-24.36,-2.5,7.13,True,27.55,30.05,5.14
BBBY,2021-01-25,Medium,11:00,37.36,-17.97,-13.89,-1.46,True,37.0,26.25,15.62
BBBY,2021-01-25,Medium,11:30,31.53,0.46,-27.34,-15.1,True,37.0,12.6,0.55
BBBY,2021-01-25,Medium,12:00,31.35,1.0,-27.74,-14.47,True,37.0,12.12,7.57
BBBY,2021-01-25,Medium,13:00,29.38,7.24,-32.29,-17.12,True,37.0,5.44,3.74
BBBY,2021-01-25,Medium,14:00,30.07,5.07,-30.71,-13.83,True,37.0,7.6,1.67
BBBY,2021-01-25,Medium,15:00,29.21,7.78,-32.68,-15.63,True,37.0,4.89,1.37
BBBY,2021-01-25,Medium,15:45,28.67,9.49,-33.93,-16.52,True,37.0,3.09,2.71
GME,2021-03-10,Medium,09:30,66.05,1.94,-1.94,-0.61,False,0.0,34.9,-7.82
GME,2021-03-10,Medium,09:45,71.48,-6.12,-1.4,3.3,True,7.63,39.85,-1.15
GME,2021-03-10,Medium,10:00,71.22,-5.73,-3.26,1.35,True,9.29,39.62,-1.09
GME,2021-03-10,Medium,10:30,71.99,-6.88,-5.28,0.61,True,12.83,40.27,-1.63
GME,2021-03-10,Medium,11:00,73.16,-8.61,-3.74,1.86,True,12.83,41.22,-4.91
GME,2021-03-10,Medium,11:30,76.75,-13.94,-0.97,5.87,True,15.06,43.97,-7.95
GME,2021-03-10,Medium,12:00,82.85,-23.0,-1.37,10.56,True,24.71,48.1,24.96
GME,2021-03-10,Medium,13:00,65.99,2.03,-24.26,-8.97,True,29.35,16.48,-5.46
GME,2021-03-10,Medium,14:00,67.75,-0.58,-22.24,-4.35,True,29.35,16.61,11.03
GME,2021-03-10,Medium,15:00,65.05,3.42,-25.33,-6.94,True,29.35,5.45,1.33
GME,2021-03-10,Medium,15:45,67.2,0.23,-22.87,-3.54,True,29.35,3.09,2.14
CLOV,2021-06-09,Medium,09:30,26.87,4.04,-6.86,-2.21,False,3.04,37.48,14.51
CLOV,2021-06-09,Medium,09:45,24.75,11.59,-14.2,-4.01,False,3.04,32.13,16.34
CLOV,2021-06-09,Medium,10:00,22.97,17.96,-20.38,-9.12,False,3.04,26.86,7.84
CLOV,2021-06-09,Medium,10:30,21.17,24.39,-26.62,-10.3,False,3.04,20.64,-0.57
CLOV,2021-06-09,Medium,11:00,21.29,23.96,-26.2,-8.31,False,3.04,21.09,11.08
CLOV,2021-06-09,Medium,11:30,18.93,32.39,-34.38,-17.17,False,3.04,11.26,3.87
CLOV,2021-06-09,Medium,12:00,18.2,35.0,-36.92,-18.42,False,3.04,7.69,-5.16
CLOV,2021-06-09,Medium,13:00,20.47,26.89,-29.04,-6.12,False,3.04,17.93,6.04
CLOV,2021-06-09,Medium,14:00,19.18,31.5,-33.51,-11.25,False,3.04,12.41,1.0
CLOV,2021-06-09,Medium,15:00,18.89,32.54,-34.52,-12.0,False,3.04,11.06,8.21
CLOV,2021-06-09,Medium,15:45,16.96,39.43,-41.21,-19.89,False,3.04,0.94,-0.06
USWS,2022-03-08,Micro,09:30,19.2,-0.0,-3.9,-0.83,False,4.06,55.0,9.06
USWS,2022-03-08,Micro,09:45,16.91,11.92,-15.36,-7.71,False,4.06,48.91,16.62
USWS,2022-03-08,Micro,10:00,17.46,9.06,-12.61,-2.58,False,4.06,50.52,9.33
USWS,2022-03-08,Micro,10:30,15.83,17.54,-20.76,-7.9,False,4.06,45.43,1.88
USWS,2022-03-08,Micro,11:00,15.53,19.09,-22.25,-8.83,False,4.06,44.38,0.53
USWS,2022-03-08,Micro,11:30,15.45,19.52,-22.67,-8.4,False,4.06,44.08,16.04
USWS,2022-03-08,Micro,12:00,12.97,32.43,-35.07,-21.38,False,4.06,33.4,24.17
USWS,2022-03-08,Micro,13:00,11.28,41.25,-43.55,-25.75,False,4.06,11.7,1.86
USWS,2022-03-08,Micro,14:00,10.98,42.81,-45.05,-26.38,False,4.06,4.37,-0.55
USWS,2022-03-08,Micro,15:00,12.09,37.03,-39.49,-17.8,False,4.06,13.15,8.44
USWS,2022-03-08,Micro,15:45,10.91,43.19,-45.41,-25.05,False,4.06,3.73,2.63
GME,2022-03-29,Medium,09:30,45.88,2.51,-3.1,-0.91,False,0.61,11.18,5.91
GME,2022-03-29,Medium,09:45,45.52,3.27,-8.69,-3.2,True,5.93,10.48,5.26
GME,2022-03-29,Medium,10:00,43.17,8.27,-13.41,-6.52,True,5.93,5.6,-1.5
GME,2022-03-29,Medium,10:30,43.82,6.89,-12.11,-1.77,True,5.93,2.86,-3.11
GME,2022-03-29,Medium,11:00,45.18,3.99,-9.37,1.57,True,5.93,3.17,0.54
GME,2022-03-29,Medium,11:30,44.93,4.52,-9.87,0.83,True,5.93,2.63,-0.58
GME,2022-03-29,Medium,12:00,45.2,3.96,-9.34,1.39,True,5.93,3.2,1.22
GME,2022-03-29,Medium,13:00,44.62,5.19,-10.5,0.06,True,5.93,1.94,-0.59
GME,2022-03-29,Medium,14:00,46.5,1.19,-6.72,4.06,True,5.93,5.91,-2.08
GME,2022-03-29,Medium,15:00,47.66,-1.28,-4.4,5.61,True,5.93,8.21,2.52
GME,2022-03-29,Medium,15:45,46.26,1.7,-7.2,2.19,True,5.93,5.43,2.79
COIN,2022-08-04,Medium,09:30,109.25,-2.97,-0.01,1.55,False,2.98,20.56,10.88
COIN,2022-08-04,Medium,09:45,100.98,4.83,-13.17,-6.29,True,9.61,14.06,1.34
COIN,2022-08-04,Medium,10:00,97.36,8.24,-16.29,-7.28,True,9.61,10.86,4.66
COIN,2022-08-04,Medium,10:30,92.82,12.51,-20.18,-9.85,True,9.61,6.51,-3.28
COIN,2022-08-04,Medium,11:00,95.87,9.65,-17.57,-5.33,True,9.61,9.47,1.3
COIN,2022-08-04,Medium,11:30,94.62,10.82,-18.64,-5.95,True,9.61,8.28,-1.73
COIN,2022-08-04,Medium,12:00,96.26,9.28,-17.24,-3.93,True,9.61,9.84,1.04
COIN,2022-08-04,Medium,13:00,93.71,11.68,-19.42,-5.95,True,9.61,7.39,0.96
COIN,2022-08-04,Medium,14:00,90.62,14.59,-22.08,-8.51,True,9.61,4.23,1.51
COIN,2022-08-04,Medium,15:00,88.85,16.26,-23.6,-9.59,True,9.61,2.32,0.81
COIN,2022-08-04,Medium,15:45,88.04,17.02,-24.29,-9.9,True,9.61,1.43,-1.02
SMH,2023-05-30,ETF,09:30,151.18,-0.35,-0.07,0.09,False,0.42,2.43,1.26
SMH,2023-05-30,ETF,09:45,151.28,-0.42,-0.03,0.37,True,0.44,2.5,1.53
SMH,2023-05-30,ETF,10:00,149.28,0.91,-1.6,-0.95,True,0.7,1.19,0.51
SMH,2023-05-30,ETF,10:30,148.52,1.41,-2.1,-1.14,True,0.7,0.69,-0.85
SMH,2023-05-30,ETF,11:00,149.78,0.58,-1.27,-0.19,True,0.7,1.52,-0.05
SMH,2023-05-30,ETF,11:30,149.85,0.53,-1.23,-0.11,True,0.7,1.57,-0.01
