date,ticker,cap,setup_type,score,grade,recommendation,pct_from_9ema,prior_day_range_atr,rvol_score,consecutive_up_days,gap_pct,pct_change_3,pct_change_15,pct_change_30,pct_from_50mav,current_price,atr_pct,proper_setup?,alternate_setup?,notes
2/18/2021,USWS,Small,3DGapFade,1,F,NO-GO,0.462726615,2.854084909,1.765162278,2,0.278481013,0.612244898,1.656652842,4.267837297,2.103158413,49.77,0.118270042,,,
10/20/2021,HX,Small,3DGapFade,3,B,CAUTION,0.734193655,3.867885121,8.217500509,7,0.066330179,0.611864407,3.63902439,4.196721311,2.997672858,9.51,0.102491362,,,
6/8/2021,LEDS,Medium,3DGapFade,5,A+,GO,0.554071073,1.922551361,1.529737099,3,0.078512397,0.602649007,1.820512821,5.419098143,2.449455499,24.2,0.173882231,N,,
1/19/2021,CRNT,Small,3DGapFade,2,F,NO-GO,0.424039126,7.907748521,14.25053781,2,0.280412371,0.600660066,0.695804196,0.622073579,0.764021241,4.85,0.087868925,,,
2/4/2021,AVXL,Small,3DGapFade,4,A,GO,0.43498015,4.231115478,10.35742368,3,0.921001927,0.589586524,0.843694494,0.599383667,0.812815453,10.38,0.068642307,,,
2/3/2021,HOL,Small,3DGapFade,2,F,NO-GO,0.414074944,4.366852886,18.88913473,2,0.064456722,0.581553398,0.583090379,0.620895522,0.586928927,16.29,0.04709287,,,
2/16/2021,CAN,Medium,3DGapFade,5,A+,GO,0.534417557,3.181967072,2.305016106,10,0.195552147,0.576783555,1.488549618,1.198988196,1.51020251,13.04,0.088964724,N,,
1/14/2021,GME,Large,3DGapFade,5,A+,GO,0.475940015,6.347273896,8.398217298,3,0.213057325,0.574724173,0.61356629,0.987341772,1.03028618,7.85,0.093424932,N,,
11/18/2021,IONQ,Medium,3DGapFade,5,A+,GO,0.383043454,2.438191859,2.316183552,2,0.088387097,0.56407669,1.274394718,3.062909567,,31.0,0.102929263,Y,,
1/29/2021,CTRM,Medium,3DGapFade,5,A+,GO,0.394831821,3.955725299,2.111410673,3,0.196885246,0.562099872,1.550167224,2.798256538,1.657118464,61.0,0.165562061,N,,
