date,ticker,cap,setup_type,score,grade,recommendation,selloff_total_pct,consecutive_down_days,pct_off_30d_high,gap_pct,prior_day_range_atr,prior_day_rvol,pct_from_200mav,pct_from_50mav,pct_change_3,pct_change_15,pct_change_30,pct_off_52wk_high,current_price,atr_pct,bounce_day_return,bounce_low_to_close,bounce_day_close_position,review_status
2022-05-03,KOLD,Medium,GapFade_weakstock,3,F,NO-GO,-0.1176470588235294,2,-0.6497691070409382,-0.1037037037037036,0.3780661134290048,0.6862905371047415,-0.8192389760044204,-0.547485527916791,-0.1580041580041579,-0.2793594306049822,-0.6198967620835288,-0.9326106308809704,16.2,0.1538694885361552,0.0399449035812672,0.1135693215339232,0.9166666666666664,
2022-05-03,MOS,Medium,GapFade_strongstock,3,F,NO-GO,-0.0615130094751089,2,-0.2129162462159435,-0.0336538461538461,0.7388375149484349,0.8798687790067716,0.4307676962920417,-0.0163035082022001,-0.0447030006123697,-0.1557299418211337,-0.0714285714285715,-0.2129162462159435,62.4,0.0676738782051282,0.1248756218905473,0.1463579516646949,0.9537444933920702,
2022-05-04,FRSH,Medium,GapFade_strongstock,6,A,GO,-0.0993096123207646,3,-0.2022577610536218,-0.1149764150943396,1.3696887871405792,1.2883468612925064,,-0.0764539316053145,-0.0665932856356632,-0.0772578890097931,-0.1566384883142714,-0.6821344968410241,16.96,0.0860958557951482,0.1205862758161226,0.1364864864864864,0.9266055045871558,REJECT
2022-05-04,HZNP,Medium,GapFade_weakstock,3,F,NO-GO,-0.1130255641914037,6,-0.193803727976849,-0.078125,1.0544933131733554,1.5311202325646884,-0.0941597595391996,-0.0947994931182972,-0.0389610389610389,-0.1574452944315958,-0.1350561592548626,-0.214170158045381,94.72,0.0405480061534748,0.0956252863032525,0.1081895053863084,0.8044788975021536,
2022-05-05,DRIP,Medium,GapFade_weakstock,3,F,NO-GO,-0.2019154030327214,3,-0.2652461425422483,-0.0085,1.0583079613463284,0.9721640100569224,-0.6180301240542665,-0.2346138244051036,-0.1718426501035196,-0.053030303030303,-0.2217898832684824,-0.8333333333333334,20.0,0.1025221428571428,0.0645486636409481,0.0726626016260162,0.5445959326681388,
2022-05-05,XP,Medium,GapFade_weakstock,4,C,NO-GO,-0.1361297981796597,4,-0.3508771929824562,-0.0311497938616582,1.8848684210526323,3.8013971878593824,-0.3740349227149623,-0.2587990031304962,-0.0964403973509934,-0.2498281786941581,-0.3030012771392082,-0.588733986435569,21.83,0.0696289509848832,0.0132387706855792,0.0238891543239369,0.6756756756756739,
2022-05-05,FRSH,Medium,GapFade_strongstock,5,B,CAUTION,-0.1067445565586828,4,-0.2088428974600188,-0.0166468489892985,1.4469529598058082,2.351119595488384,,-0.0822985094170794,-0.071231363887355,-0.1179863660199265,-0.1803118908382066,-0.6847583866076666,16.82,0.0895727874978767,-0.0332527206771462,0.0437336814621409,0.4589041095890407,REJECT
2022-05-05,BEKE,Medium,GapFade_weakstock,3,F,NO-GO,-0.0055210489993098,2,-0.1290420066485343,-0.0277585010409438,1.0580459770114952,0.8004778381061964,-0.2361232592781073,0.0200758862838373,-0.0068917987594761,0.0013898540653231,0.0642540620384048,-0.7257849666983825,14.41,0.086249628234361,-0.0556745182012847,0.0311769290724863,0.3225806451612905,
2022-05-06,SIX,Medium,GapFade_weakstock,3,F,NO-GO,-0.1761893377958402,8,-0.2273542600896861,-0.0043528728961113,1.2587653984016576,1.518858960883493,-0.1715718858519334,-0.1608180441167159,-0.0736559139784946,-0.1670292482475223,-0.201760481816076,-0.2705334462320068,34.46,0.0516402039631871,-0.0061206645292917,0.0317700453857792,0.5097087378640792,
2022-05-06,ONON,Medium,GapFade_strongstock,3,F,NO-GO,-0.1170212765957447,2,-0.1694067190850608,-0.0137693631669533,1.4606354217698183,1.329042683610767,,-0.052866667753452,-0.1160136934195511,-0.0636583400483481,-0.1282820705176294,-0.584034365491319,23.24,0.0677563314482419,-0.0170157068062827,0.0831730769230769,0.8160377358490564,
2022-05-06,IPI,Medium,GapFade_strongstock,5,B,CAUTION,-0.1688586190699858,2,-0.418501478803812,-0.008335688047471,1.2684875120382098,0.9278652186019932,0.4212480397098068,-0.1440857510472191,-0.1470233791275006,-0.3677534613666816,-0.1986867428959583,-0.418501478803812,70.78,0.1445019779598756,-0.0336230232226812,0.0347826086956521,0.4206642066420665,REJECT
