date,ticker,bucket,cap,recommendation,score,prediction_correct,outcome_pct,max_favorable_pct,atr_move,open,high,low,close,volume,mfe_atr,rvol,tradeable,tradeable_detail,gap_pct,pct_change_3,pct_from_9ema,prior_day_range_atr,prior_day_rvol,atr_pct,tradeable_b,dir_ok,score_num,pct_change_3_f,gap_pct_f
2026-03-30,NBIS,bounce,Medium,CAUTION,4/6,False,-0.097613,0.0,0.95,102.24,102.24,89.6525,92.26,16742952.762854,0.0,0.9,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 0.9x (normal),0.014085,-0.198366,,0.631533,,0.102806,False,False,4,-0.198366,0.014085
2026-03-30,FIG,bounce,Medium,CAUTION,4/6,False,-0.002474,0.019297,0.03,20.21,20.6,19.83,20.16,7983386.918419,0.22,0.6,False,direction wrong; MFE only 0.2 ATR (<1.0); RVOL 0.6x (normal),0.000991,-0.044097,,1.012636,,0.088661,False,False,4,-0.044097,0.000991
2026-04-01,SNDK,reversal,Medium,CAUTION,3/5,False,0.061997,0.011023,0.7,652.29,710.85,645.1,692.73,22318343.308036,0.13,1.2,False,direction wrong; MFE only 0.1 ATR (<1.0); RVOL 1.2x (normal),0.004663,0.124872,0.064963,1.071586,1.185553,0.088163,False,False,3,0.124872,0.004663
2026-04-01,AXTI,bounce,Medium,CAUTION,4/6,False,-0.198299,0.02806,1.06,58.8,60.4499,46.87,47.14,21149587.752508,0.15,1.9,False,direction wrong; MFE only 0.1 ATR (<1.0); RVOL 1.9x (elevated),0.031941,-0.222497,,0.859085,,0.18742,False,False,4,-0.222497,0.031941
2026-04-02,WDC,reversal,Large,CAUTION,3/5,False,0.060395,0.000611,0.7,278.17,298.1533,278,294.97,7860762.409577,0.01,0.9,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 0.9x (normal),-0.001317,0.172051,0.035055,0.816411,0.86852,0.083798,False,False,3,0.172051,-0.001317
2026-04-02,AXTI,bounce,Medium,CAUTION,4/6,True,0.186882,0.190476,0.94,44.52,53,42.1,52.84,15924648.607285,0.96,1.3,False,direction OK; MFE only 1.0 ATR (<1.0); RVOL 1.3x (elevated),,-0.106012,,1.454844,,0.198012,False,True,4,-0.106012,
2026-04-06,AXTI,bounce,Medium,GO,6/6,False,-0.149397,0.004558,0.64,49.365,49.59,39.7,41.99,21083075.952337,0.02,1.7,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 1.7x (elevated),-0.065765,-0.263075,,1.119345,,0.231908,False,False,6,-0.263075,-0.065765
2026-04-20,IONQ,reversal,Medium,GO,4/5,False,0.065726,0.004852,1.06,45.34,48.565,45.12,48.32,47869914.115291,0.08,1.7,False,direction wrong; MFE only 0.1 ATR (<1.0); RVOL 1.7x (elevated),0.048818,0.28887,0.289501,1.001307,1.824725,0.062186,False,False,4,0.28887,0.048818
2026-04-20,CAR,reversal,Medium,GO,4/5,False,0.239262,0.031063,2.69,491.26,612.58,476,608.8,5733761.717657,0.35,1.6,False,direction wrong; MFE only 0.3 ATR (<1.0); RVOL 1.6x (elevated),0.17999,0.199971,0.574526,1.534834,1.43706,0.088973,False,False,4,0.199971,0.17999
2026-04-20,AMD,reversal,Large,CAUTION,3/5,True,-0.020135,0.030649,0.53,280.6,287.61,272,274.95,34829029.325348,0.8,1.0,False,direction OK; MFE only 0.8 ATR (<1.0); RVOL 1.0x (normal),-0.00704,0.091426,0.091164,0.654807,0.996656,0.038175,False,True,3,0.091426,-0.00704
2026-04-20,AAPL,reversal,Large,CAUTION,3/5,False,0.010062,0.000148,0.43,270.33,274.275,270.29,273.05,36582599.341082,0.01,0.8,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 0.8x (normal),0.010362,0.044044,0.041168,0.882644,1.432698,0.023155,False,False,3,0.044044,0.010362
2026-04-20,RKLB,reversal,Medium,CAUTION,3/5,False,0.054331,0.002946,0.9,84.85,90.35,84.6,89.46,28821604.992616,0.05,1.1,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 1.1x (normal),0.051126,0.17419,0.191766,0.630863,1.020442,0.060286,False,False,3,0.17419,0.051126
2026-04-20,CRML,reversal,Small,CAUTION,3/5,True,-0.081538,0.113077,0.83,13,13.68,11.53,11.94,25650400.790385,1.15,2.3,True,direction OK; MFE 1.2 ATR; RVOL 2.3x (elevated),-0.047373,0.428896,0.258241,2.216836,9.632639,0.098023,True,True,3,0.428896,-0.047373
2026-04-20,CRDO,reversal,Medium,CAUTION,3/5,False,0.086399,0.002801,1.34,160.65,174.61,160.2,174.53,7465538.986577,0.04,1.0,False,direction wrong; MFE only 0.0 ATR (<1.0); RVOL 1.0x (normal),0.063538,0.007335,0.207896,1.167969,1.012458,0.064677,False,False,3,0.007335,0.063538
2026-04-20,TSLA,reversal,Large,CAUTION,3/5,True,-0.025039,0.035397,0.58,402.58,406.8,388.33,392.5,64598716.632887,0.83,0.9,False,direction OK; MFE only 0.8 ATR (<1.0); RVOL 0.9x (normal),-0.02108,0.1,0.045366,1.04878,1.31968,0.042864,False,True,3,0.1,-0.02108
2026-04-21,IONQ,reversal,Medium,GO,4/5,True,-0.047737,0.059259,0.75,48.6,48.73,45.72,46.28,38375542.077355,0.93,1.3,False,direction OK; MFE only 0.9 ATR (<1.0); RVOL 1.3x (elevated),-0.000414,0.117225,0.218039,1.114887,1.683549,0.063975,False,True,4,0.117225,-0.000414
