ticker,date,node,px,short_pnl_pct,below_hod_pct,vs_vwap_pct,vwap_slope15,below_open,made_new_hod,mae_pct,dist_to_pm_high_pct,fwd_to_low_pct,fwd_30min_pct,eod_close_pct,setup,grade,cap
PLTR,2021-01-28,10:00,40.06,-1.32,-4.61,-0.39,0.39,False,True,6.22,-8.53,17.38,2.73,10.82,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,10:30,38.97,1.44,-7.21,-2.38,-0.53,True,True,6.22,-11.03,15.06,6.29,8.31,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,11:00,36.52,7.64,-13.05,-5.85,-0.79,True,True,6.22,-16.62,9.36,4.99,2.16,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,11:30,34.7,12.25,-17.39,-7.51,-1.78,True,True,6.22,-20.78,2.53,-1.3,-2.97,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,12:00,35.15,11.1,-16.31,-5.0,-0.54,True,True,6.22,-19.75,2.13,-2.47,-1.65,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,13:00,36.02,8.9,-14.24,-1.93,-0.12,True,True,6.22,-17.76,2.44,-1.19,0.81,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,14:00,36.0,8.95,-14.29,-1.85,-0.02,True,True,6.22,-17.81,2.39,2.08,0.75,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,15:00,36.04,8.85,-14.19,-1.57,-0.02,True,True,6.22,-17.72,2.19,1.42,0.86,GapDownTrendBreak,B,Medium
PLTR,2021-01-28,15:45,35.9,9.21,-14.52,-1.84,-0.04,True,True,6.22,-18.04,0.97,0.47,0.47,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,09:30,36.83,1.87,-3.89,-1.32,,True,False,2.11,-30.16,25.75,-13.68,17.06,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,09:45,39.53,-5.33,-3.89,2.51,3.32,False,True,9.59,-25.03,30.82,-8.33,22.73,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,10:00,41.86,-11.56,-4.06,6.63,1.81,False,True,16.28,-20.6,34.68,0.03,27.04,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,10:30,41.85,-11.52,-6.96,2.38,1.48,False,True,19.86,-20.63,34.66,17.55,27.02,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,11:00,34.5,8.06,-23.29,-12.89,-2.05,True,True,19.86,-34.56,20.75,12.33,11.48,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,11:30,30.25,19.4,-32.75,-18.55,-2.89,True,True,19.86,-42.63,9.6,-3.51,-0.97,GapDownTrendBreak,B,Medium
