signal_date,session,target_date,ticker,bucket,cap,recommendation,score,atr_pct,entry_open,d0_pct,d1_pct,d2_pct,d3_pct,mfe_atr_d0,mfe_atr_3d,mae_atr_3d,adverse_before_fav_atr,days_to_1atr,dir_correct_d0,dir_correct_final,tradeable_d0,tradeable_3d,days_available,complete,episode_id,episode_signal_num,pct_from_9ema,pct_change_3,gap_pct,prior_day_range_atr,prior_day_rvol,premarket_rvol,selloff_total_pct,pct_off_30d_high,pct_off_52wk_high
2026-05-11,morning,2026-05-11,AMD,reversal,Large,GO,5/5,0.057886,460.55,-0.003822,-0.02662,-0.032678,-0.023559,0.36,1.29,0.33,0.33,1,True,True,False,True,4,True,AMD_reversal_2026-05-11,1,0.215028,0.281287,0.020233,1.413572,1.274297,0.029237,,,
2026-05-11,morning,2026-05-11,CRWD,reversal,Large,GO,4/5,0.039582,523.78,0.035282,0.042766,0.074058,0.10724,0.09,0.09,2.89,,,False,False,False,False,4,True,CRWD_reversal_2026-05-11,1,0.083057,0.107527,-0.014722,1.777482,1.303439,0.003042,,,
2026-05-11,morning,2026-05-11,GLW,reversal,Large,GO,5/5,0.061391,194,0.069021,0.021856,0.064485,0.073608,0.2,0.48,1.49,,,False,False,False,False,4,True,GLW_reversal_2026-05-11,1,0.118428,0.153239,0.032417,1.119968,1.737113,0.022044,,,
2026-05-11,morning,2026-05-11,INTC,reversal,Large,GO,5/5,0.060664,130.88,-0.011002,-0.078469,-0.080914,-0.114227,0.88,2.23,0.24,0.24,1,True,True,False,True,4,True,INTC_reversal_2026-04-30,5,0.254758,0.155062,0.042747,2.375307,1.606724,0.056057,,,
2026-05-11,morning,2026-05-11,MU,reversal,Large,GO,5/5,0.053742,792.98,0.002964,-0.033292,0.01343,-0.0214,0.59,2.03,0.6,0.6,1,False,True,False,True,4,True,MU_reversal_2026-05-05,3,0.265728,0.166526,0.044249,1.694067,1.580158,0.065702,,,
2026-05-11,morning,2026-05-11,RKLB,reversal,Medium,GO,4/5,0.073144,105.27,0.114753,0.116747,0.179348,0.259143,0.16,0.16,3.62,,,False,False,False,False,4,True,RKLB_reversal_2026-05-11,1,0.224757,0.339132,-0.007301,2.578949,3.684837,0.047383,,,
2026-05-11,morning,2026-05-11,SNDK,reversal,Large,GO,4/5,0.064575,1586.25,-0.024391,-0.084621,-0.087641,-0.128309,0.7,2.19,0.13,0.13,1,True,True,False,True,4,True,SNDK_reversal_2026-05-04,4,0.202387,0.110942,-0.002791,1.718383,1.275164,0.038823,,,
2026-05-11,morning,2026-05-11,SOXL,reversal,ETF,GO,4/5,0.077825,181,0.052044,-0.046851,0.017901,0.028674,0.15,2.16,0.73,0.73,1,False,False,False,True,4,True,SOXL_reversal_2026-05-04,3,0.246366,0.227386,0.015599,1.143355,0.714801,0.037671,,,
2026-05-12,morning,2026-05-12,GLW,reversal,Large,GO,4/5,0.063809,204.34,-0.029852,0.01062,0.019282,-0.061319,1.23,1.23,0.57,0.08,0,True,True,True,True,4,True,GLW_reversal_2026-05-11,2,0.131071,0.142204,-0.020879,1.332085,1.80833,0.026092,,,
2026-05-12,morning,2026-05-12,INTC,reversal,Large,GO,4/5,0.06804,124.36,-0.030154,-0.032728,-0.067787,-0.125362,1.11,2.29,0.41,0.41,0,True,True,True,True,4,True,INTC_reversal_2026-04-30,6,0.13163,0.145385,-0.047607,1.052713,1.209792,0.018571,,,
2026-05-12,morning,2026-05-12,MU,reversal,Large,GO,4/5,0.059716,774.7,-0.010481,0.037343,0.001691,-0.064593,1.47,1.47,0.87,0.17,0,True,True,True,True,4,True,MU_reversal_2026-05-05,4,0.178011,0.193132,-0.034326,1.104792,1.665505,0.023153,,,
2026-05-12,morning,2026-05-12,NVTS,reversal,Medium,GO,4/5,0.118636,21.72,-0.11372,-0.025322,0.027624,-0.018416,1.18,1.18,0.65,0.11,0,True,True,True,True,4,True,NVTS_reversal_2026-05-12,1,0.197313,0.357914,-0.056071,2.243312,1.862263,0.008769,,,
2026-05-12,morning,2026-05-12,RKLB,reversal,Medium,GO,4/5,0.076981,112.76,0.042568,0.101011,0.175505,0.106509,0.04,0.04,2.35,,,False,False,False,False,4,True,RKLB_reversal_2026-05-11,2,0.221763,0.386297,-0.04363,2.307981,2.21276,0.016964,,,
