ticker,date,trade_grade,intraday_setup,atr_pct,d0_in_atr,d0_move_pct,d0_ge_1atr,d-1_in_atr,d-1_move_pct,d-1_ge_1atr,d-2_in_atr,d-2_move_pct,d-2_ge_1atr,d-3_in_atr,d-3_move_pct,d-3_ge_1atr,ctl_n,ctl_mean_in_atr,ctl_max_in_atr,ctl_hit_rate
NVDA,2024-06-20,A,,0.036764375,0.18678279692499664,0.006866952789699424,False,0.2302293101299828,0.008464236693609987,False,0.15135108770305927,0.0055643281449731605,False,0.0502312923401681,0.0018467220683285677,False,5.0,0.16986425745915015,0.2912084897439033,0.0
VXX,2024-08-05,A,,0.052803602,0.19762228983732458,0.010435168738898732,False,0.18082653385354025,0.009548292324641865,False,0.04517872953068002,0.0023855996530036745,False,0.14496064361729463,0.0076544441312314665,False,5.0,0.10246248707769637,0.16505124392221054,0.0
BEKE,2024-09-30,A,,0.035920365,0.16273007640672107,0.00584532374100731,False,0.0,0.0,False,2.327311640566116,0.0835978835978837,True,0.4155128472199122,0.014925373134328483,False,5.0,0.3143235058877785,0.8491100438561745,0.0
TEM,2024-08-20,A,,0.090717595,1.424656146476819,0.12924137931034474,True,0.5225979499860428,0.04740882917466408,False,0.361162901058324,0.032763829787234106,False,0.43579000127759926,0.03953382084095073,False,3.0,0.2546333768138854,0.5078807253291701,0.0
OKLO,2024-10-23,B,,0.153618289,0.6943183046712466,0.1066599899849776,False,0.010141885375163017,0.0015579790785666657,False,0.24532980620357925,0.03768714506969543,False,1.2179329389194558,0.18709677419354828,True,5.0,0.05338943760850051,0.14646693532695162,0.0
ARM,2024-04-17,B,,0.047936209,0.13894248104370682,0.006660375810289668,False,0.16415258159059556,0.007868852459016341,False,0.04959046888384658,0.0023771790808240663,False,0.21815241581648392,0.010457399798433879,False,5.0,0.9204798698886574,3.080215421868886,0.2
IONQ,2024-10-29,B,,0.097937187,0.17503930496653108,0.017142857142857182,False,0.0,0.0,False,0.40067013900566684,0.03924050632911399,False,0.0467458357497277,0.004578155657292367,False,5.0,0.3357443674527191,0.9069101067718138,0.0
PHUN,2024-10-24,B,,0.163499444,0.04888090016991122,0.00799199999999999,False,0.11711927393595746,0.019148936170212735,False,0.7431546760739194,0.12150537634408591,False,0.08907647103908257,0.014563953488372102,False,5.0,0.0716687932578597,0.1281844348800074,0.0
DJT,2024-10-29,A,,0.11797357,0.08673602180161905,0.01023255813953483,False,0.5668403865126209,0.06687218401707375,False,0.3656141255387625,0.04313280363223598,False,0.03872724596161155,0.004568791462359397,False,5.0,0.09623408630582558,0.27981694262443163,0.0
DJT,2024-10-30,B,OpeningDrive,0.126266008,0.389907503527033,0.04923206395960438,False,0.08103968994992564,0.01023255813953483,False,0.5296135125858555,0.06687218401707375,False,0.34160265550040975,0.04313280363223598,False,5.0,0.26554784244171215,0.5905104999341715,0.0
IONQ,2024-11-12,A,OpeningDrive,0.118370404,1.320969018266056,0.15636363636363643,True,0.03463738284115273,0.0041000410004099165,False,0.8763545305972334,0.10373443983402489,False,1.4345758315965276,0.16981132075471694,True,5.0,0.0675424636880488,0.14482384585641173,0.0
DXYZ,2024-11-11,A,OpeningDrive,0.106561548,0.49598784225078063,0.05285323225942299,False,0.037239079599838625,0.003968253968254024,False,2.6892561350889985,0.28657129672358084,True,0.8142215227799893,0.08676470588235292,False,5.0,0.037363107838827056,0.09681831146580847,0.0
OKLO,2024-10-30,C,OpeningDrive,0.167805905,0.3882551996696138,0.06515151515151525,False,0.06286145417082345,0.010548523206751054,False,0.2355968017605489,0.0395345345345345,False,0.4187065878789944,0.07026143790849669,False,5.0,0.07165091115383855,0.19135257333834105,0.0
MSTR,2024-11-21,A,Upattern,0.097317289,0.1413880133985649,0.013759498161044013,False,0.3654358714459572,0.035563228312473064,False,0.23004829602624977,0.0223876765083441,False,0.22326143629716308,0.02172719771868611,False,5.0,0.2380089800856216,0.4454946616253403,0.0
CRNC,2025-01-06,B,OpeningDrive,0.105033569,1.5583243774411066,0.1636763710223425,True,1.2882593055546874,0.13531047265987034,True,0.33406195402391337,0.03508771929824553,False,0.162549658116515,0.017073170731707388,False,5.0,0.25862871883293337,0.5426343139196745,0.0
BYND,2025-10-22,B,11AMPushFail,0.174910998,0.10192727259178623,0.01782820097244738,False,0.4207458332212681,0.07359307359307356,False,0.056050915498335095,0.00980392156862746,False,0.11379838774147905,0.019904589570653067,False,5.0,0.1797644734821769,0.7419258585810153,0.0
CRCL,2025-06-23,A,11AMPushFail,0.201246729,0.3229886998935731,0.06500041935754423,False,0.029620968945791748,0.005961123110151168,False,0.10961561178022752,0.022059783318104657,False,0.2561418546677093,0.051547710411869875,False,1.0,0.04854148870798508,0.04854148870798508,0.0
CRCL,2025-06-24,A,OpeningDrive,0.208856519,0.27857332279135644,0.05818185448446606,False,0.31122044774453145,0.06500041935754423,False,0.028541714372588813,0.005961123110151168,False,0.105621713048395,0.022059783318104657,False,1.0,0.04677285569081248,0.04677285569081248,0.0
IONQ,2025-01-08,C,OffOpenSelloff,0.133585863,0.048295626186326365,0.0064516129032258064,False,0.28319997648651174,0.03783151326053038,False,0.2867240333111614,0.038302277432712244,False,0.7277226414038,0.09721345707656616,False,5.0,0.2936064033285472,0.7765375579751645,0.0
OPEN,2025-07-21,A,AfternoonSelloff,0.14855827,0.24220204871467413,0.03598111734750771,False,0.34646456519162794,0.051470176421170466,False,0.387479592939852,0.05756329798744863,False,0.5349005457411602,0.07946389969736262,False,5.0,0.17652315145904168,0.48553363774533675,0.0
