cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form
1937987,"Falcon's Beyond Global, Inc.","FBYD, FBYDW",2023-10-05,2023-10-12,0001013762-23-003583,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",7990,8-K
70866,NCR CORP,"VYX, NCRRP",2023-10-13,2023-10-17,0001193125-23-257806,"1.01,1.02,2.01,2.03,3.03,5.02,5.03,8.01,9.01",3578,8-K
1869141,Athena Consumer Acquisition Corp.,,2023-10-19,2023-10-19,0001013762-23-005147,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,8.01,9.01",6770,8-K
1827506,"Tourmaline Bio, Inc.",TRML,2023-10-19,2023-10-20,0001193125-23-259403,"1.01,2.01,3.03,5.01,5.02,5.03,8.01,9.01",2836,8-K
1844149,Spectaire Holdings Inc.,"SPEC, SPECW",2023-10-19,2023-10-27,0001013762-23-007283,"1.01,2.01,3.02,4.01,5.01,5.02,5.05,5.06,9.01",3829,8-K
1124105,"GYRE THERAPEUTICS, INC.",GYRE,2023-10-27,2023-10-30,0001140361-23-050292,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,7.01,9.01",2834,8-K
1980845,enGene Holdings Inc.,"ENGN, ENGNW",2023-10-31,2023-10-31,0001193125-23-267243,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,9.01",2836,8-K
866291,"ALLEGRO MICROSYSTEMS, INC.",ALGM,2023-10-31,2023-11-01,0000950170-23-056993,"1.01,1.02,2.01,2.03,7.01,9.01",3674,8-K
1074902,LCNB CORP,LCNB,2023-11-01,2023-11-01,0001074902-23-000097,"2.01,8.01,9.01",6021,8-K
1874495,Forbion European Acquisition Corp.,,2023-11-01,2023-11-02,0001193125-23-268401,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,7.01,9.01",6770,8-K
1880661,TPG Inc.,"TPG, TPGXL",2023-11-01,2023-11-02,0001880661-23-000090,"1.01,2.01,3.02,7.01,9.01",6282,8-K
1131554,SYNCHRONOSS TECHNOLOGIES INC,"SNCR, SNCRL",2023-10-31,2023-11-03,0001131554-23-000075,"1.01,2.01,3.03,7.01,9.01",7371,8-K
1164727,NEWMONT Corp /DE/,"NEM, NEMCL",2023-11-03,2023-11-06,0001104659-23-114506,"2.01,2.03,3.02,5.03,7.01,8.01,9.01",1040,8-K
1703647,"Frequency Therapeutics, Inc.",KRRO,2023-11-03,2023-11-06,0001193125-23-270898,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.07,7.01,8.01,9.01",2834,8-K
1843656,Royalty Management Holding Corp,"RMCO, RMCOW",2023-10-31,2023-11-06,0001477932-23-008092,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,5.06,9.01",6794,8-K
896841,"AVID TECHNOLOGY, INC.",,2023-11-07,2023-11-08,0001839882-23-030181,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,7.01,9.01",7372,8-K
1854583,"Collective Audience, Inc.",CAUD,2023-11-02,2023-11-08,0001213900-23-084420,"1.01,2.01,3.03,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",8742,8-K
708818,"NEXTGEN HEALTHCARE, INC.",,2023-11-09,2023-11-09,0001193125-23-274104,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",7373,8-K
1849380,OneMedNet Corp,"ONMD, ONMDW",2023-11-07,2023-11-13,0001493152-23-040642,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",8731,8-K
1853044,"Aeries Technology, Inc.","AERT, AERTW",2023-11-06,2023-11-13,0001829126-23-007330,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,7.01,9.01",8742,8-K
1866816,"SYNTEC OPTICS HOLDINGS, INC.","OPTX, OPTXW",2023-11-14,2023-11-14,0001493152-23-041322,"1.01,2.01,3.03,5.03,5.06,8.01,9.01",3827,8-K
731122,MUNCY COLUMBIA FINANCIAL Corp,CCFN,2023-11-11,2023-11-16,0001999371-23-000280,"2.01,5.02,5.03,9.01",6022,8-K
1091748,"Argo Group International Holdings, Ltd.","ARGD, ARGO-PA",2023-11-16,2023-11-16,0001104659-23-118922,"2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6361,8-K
1842556,HNR Acquisition Corp.,"HNRA, HNRA-WT",2023-11-15,2023-11-21,0001213900-23-089273,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,8.01,9.01",1311,8-K
1068875,"AVANTAX, INC.",,2023-11-27,2023-11-27,0001999371-23-000541,"1.01,1.02,2.01,2.03,3.01,3.03,5.01,5.02,5.03,7.01,9.01",6199,8-K
1964789,Hut 8 Corp.,HUT,2023-11-29,2023-12-01,0001104659-23-122902,"2.01,2.03,3.01,3.03,4.01,5.01,5.02,5.03,7.01,9.01",6199,8-K
1839530,"XBP Europe Holdings, Inc.","XBP, XBPEW",2023-11-29,2023-12-05,0001213900-23-093176,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.05,5.06,9.01",7389,8-K
1853070,"Volato Group, Inc.","SOAR, SOAR-WT",2023-12-01,2023-12-07,0001140361-23-056679,"1.01,1.02,2.01,2.03,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",4522,8-K
1848898,African Agriculture Holdings Inc.,"AAGR, AAGRW",2023-12-06,2023-12-12,0001213900-23-095140,"1.01,2.01,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",0100,8-K
1411342,Ellington Financial Inc.,"EFC, EFC-PA, EFC-PB, EFC-PC, EFC-PD, EFC-PE",2023-12-14,2023-12-14,0001411342-23-000200,"1.01,2.01,3.03,5.03,7.01,8.01,9.01",6500,8-K
1922858,"ECD Automotive Design, Inc.","ECDA, ECDAW",2023-12-12,2023-12-18,0001213900-23-096585,"1.01,2.01,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",3711,8-K
1404644,Neurogene Inc.,NGNE,2023-12-13,2023-12-19,0001193125-23-298152,"1.01,2.01,3.03,5.01,5.02,5.03,5.05,5.07,5.08,7.01,9.01",2834,8-K
1826011,"Banzai International, Inc.","BNZI, BNZIW",2023-12-14,2023-12-20,0001193125-23-300033,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,9.01",7372,8-K
1863990,"Infrared Cameras Holdings, Inc.","MSAI, MSAIW",2023-12-19,2023-12-21,0001104659-23-128275,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06,8.01,9.01",3827,8-K
1883984,"Alternus Clean Energy, Inc.","ALCE, ACLEW",2023-12-22,2023-12-22,0001104659-23-128865,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",4931,8-K
