cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
1444380,NEVRO CORP,NVRO,2025-04-01,2025-04-03,0001193125-25-071904,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",3841.0,8-K,,,3841.0,Surgical & Medical Instruments & Apparatus,NEVRO CORP,,2025-02-21,PREM14A,12,2025-04-02,2025-04-02,False,False,False,"Palmer Merger Sub, Inc",NVRO,NVRO,,,,,,False,False,
1481646,"Accolade, Inc.",ACCD,2025-04-08,2025-04-08,0001140361-25-012719,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,9.01",7389.0,8-K,,,7389.0,"Services-Business Services, NEC","Accolade, Inc.",Accolade LLC,2025-02-10,PREM14A,5,2025-03-27,2025-03-27,False,False,False,,ACCD,ACCD,,,,,,False,False,
2022308,"Classover Holdings, Inc.","KIDZ, KIDZW",2025-04-04,2025-04-10,0001929980-25-000257,"1.01,1.02,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",8200.0,8-K,"KIDZ,KIDZW","Nasdaq,Nasdaq",8200.0,Services-Educational Services,KIDZ AI Inc.,"Classover Holdings, Inc.",2024-05-14,425,0,,,True,False,False,,,KIDZ,3514769.0,,,,super8k,True,True,
1965052,Marblegate Capital Corp,,2025-04-07,2025-04-11,0001193125-25-079142,"1.01,2.01,3.01,3.03,5.01,5.02,5.03,5.06,8.01,9.01",6199.0,8-K,"MGTE,MGTEW","OTC,OTC",6199.0,Finance Services,Marblegate Capital Corp,,2025-03-25,425,0,,,True,False,False,"February 14, 2023",,,322274.0,,,11.05,super8k,True,True,
1912461,SK Growth Opportunities Corp,"SKGR, SKGRU, SKGRW",2025-04-10,2025-04-14,0001213900-25-031274,"1.01,2.01,3.01,3.03,5.01,5.02,9.01",6770.0,8-K,,,6770.0,Blank Checks,SK Growth Opportunities Corp,,2024-02-28,425,4,2025-04-01,2025-03-28,True,True,False,,SKGR,SKGR,0.0,,,10.0,llm,True,True,
1346830,"Tvardi Therapeutics, Inc.",CARA,2025-04-15,2025-04-15,0001104659-25-035121,"1.01,2.01,3.03,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",2834.0,8-K,TVRD,Nasdaq,2834.0,Pharmaceutical Preparations,"Tvardi Therapeutics, Inc.","Cara Therapeutics, Inc.; Cara Therapeutics Inc",2024-12-18,425,12,2025-04-01,2025-04-01,True,False,True,"Tvardi Therapeutics, Inc",CARA,TVRD,,,,,,False,False,
849399,Gen Digital Inc.,GEN,2025-04-17,2025-04-17,0001140361-25-014313,"1.01,2.01,2.03,9.01",7372.0,8-K,"GEN,GENVR","Nasdaq,Nasdaq",7372.0,Services-Prepackaged Software,Gen Digital Inc.,NortonLifeLock Inc.; SYMANTEC CORP,2024-12-10,425,16,2024-09-13,2024-09-10,True,False,False,"Merger, dated as of December 10, 2024",GEN,GEN,,,40.0,,near8k,False,True,40.0
1531978,"Paragon 28, Inc.",FNA,2025-04-17,2025-04-21,0000950157-25-000330,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",3841.0,8-K,,,3841.0,Surgical & Medical Instruments & Apparatus,"Paragon 28, Inc.",,2025-02-27,PREM14A,4,2025-04-17,2025-04-17,False,False,False,"Gazelle Merger Sub I, Inc",,,,,,,,False,False,
1378992,"BERRY GLOBAL GROUP, INC.",BERY,2025-04-30,2025-04-30,0001104659-25-042492,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,9.01",3089.0,8-K,,,3089.0,"Plastics Products, NEC","BERRY GLOBAL GROUP, INC.",BERRY GLOBAL GROUP INC; BERRY PLASTICS GROUP INC,2024-02-07,425,14,2025-02-26,2025-02-25,True,False,False,Amcor plc,BERY,BERY,,,4.5,,super8k,False,True,4.5
1471727,"SRx Health Solutions, Inc.",BTTR,2025-04-24,2025-04-30,0001641172-25-007917,"2.01,3.02,5.01,5.02,5.03,8.01,9.01",2080.0,8-K,SRXH,NYSE,2080.0,Beverages,SRX Global Inc.,"SRx Health Solutions, Inc.; Better Choice Co Inc.; Sport Endurance, Inc.",2025-01-06,PREM14A,7,2025-03-31,2025-03-21,False,False,True,,BTTR,SXRH,0.0,,,,llm,False,True,
1748790,Amcor plc,"AMCR, AMCCF",2025-04-30,2025-04-30,0001104659-25-042520,"2.01,5.02,7.01,9.01",3990.0,8-K,"AMCR,AMCCF","NYSE,OTC",3990.0,Miscellaneous Manufacturing Industries,Amcor plc,ARCTIC JERSEY Ltd,2024-11-19,425,7,2025-02-26,2025-02-25,True,False,False,"Berry Global Group, Inc",,,,,,,,False,False,
1798749,"Jade Biosciences, Inc.",AVTE,2025-04-28,2025-05-01,0001193125-25-110004,"1.01,2.01,2.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,9.01",2834.0,8-K,JBIO,Nasdaq,2834.0,Pharmaceutical Preparations,"Jade Biosciences, Inc.","Aerovate Therapeutics, Inc.",2024-10-31,425,4,2025-04-21,2025-04-16,True,False,True,"Merger, dated as of October 30, 2024",AVTE,JBIO,,,,,,False,False,
1389050,"Archrock, Inc.",AROC,2025-05-01,2025-05-01,0001104659-25-043521,"1.01,2.01,3.02,7.01,9.01",4922.0,8-K,AROC,NYSE,4922.0,Natural Gas Transmission,"Archrock, Inc.","EXTERRAN HOLDINGS INC.; Iliad Holdings, INC",2007-03-30,S-4,15,2025-04-28,2025-04-24,False,False,False,NGCSI continuing as the surviving company and,AROC,AROC,,,,,,False,False,
1971387,"Liminatus Pharma, Inc.","LIMN, LIMNW",2025-04-30,2025-05-06,0001104659-25-045127,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.05,5.06,7.01,8.01,9.01",2836.0,8-K,"LIMN,LIMNW","Nasdaq,Nasdaq",2836.0,"Biological Products, (No Diagnostic Substances)","Liminatus Pharma, Inc.",Iris Parent Holding Corp.,2023-11-08,S-4,0,,,False,False,True,"November 30, 2022",,LIMN,59844.0,,,11.5,super8k,True,True,
1956055,Bukit Jalil Global Acquisition 1 Ltd.,"BUJA, BUJAR, BUJAU, BUJAW",2025-05-12,2025-05-12,0001929980-25-000412,"1.01,1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",6770.0,8-K,,,6770.0,Blank Checks,Bukit Jalil Global Acquisition 1 Ltd.,,2024-08-09,425,2,2025-04-03,2025-03-31,True,True,False,GIBO HOLDINGS LIMITED,BUJA,BUJA,2832423.0,,,,llm,True,True,
1393612,Discover Financial Services,DFS,2025-05-18,2025-05-19,0001193125-25-122107,"2.01,3.01,3.03,5.01,5.02,5.03,9.01",6141.0,8-K,,,6141.0,Personal Credit Institutions,Discover Financial Services,,2024-02-20,425,17,2025-02-18,2025-02-18,True,False,False,Discover Financial Services,,DFS,,,,,,False,False,
1494650,"OptiNose, Inc.",OPTN,2025-05-21,2025-05-21,0001104659-25-051326,"1.02,2.01,3.01,3.03,5.01,5.02,5.03,8.01,9.01",2834.0,8-K,,,2834.0,Pharmaceutical Preparations,"OptiNose, Inc.",,2025-04-03,PREM14A,9,2025-05-16,2025-05-16,False,False,False,"Orca Merger Sub, Inc",OPTN,OPTN,,,,,,False,False,
712771,"ConnectOne Bancorp, Inc.","CNOB, CNOBP",2025-06-01,2025-06-02,0001437749-25-019064,"2.01,5.02,8.01,9.01",6022.0,8-K,"CNOB,CNOBP","Nasdaq,Nasdaq",6022.0,State Commercial Banks,"ConnectOne Bancorp, Inc.",CENTER BANCORP INC,2024-09-05,425,19,2025-05-21,2025-05-20,True,False,False,The First of Long Island Corporation,CNOB,CNOB,,,,,,False,False,
