cik,company_name,tickers,close_date,super8k_date,super8k_adsh,items,sic_at_filing,form,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct,new_ticker,flip_date,flip_ticker,old_ticker,n_ticker_events,polygon_active,list_date,sic_code,sic_description,polygon_name,market_cap_now,delisted_utc,public_shares_pre_vote,enrich_status,flip_source,redemption_pct_final,post_redeem_float_est,redemption_pct_best,sector,sector_margin,is_hightech,ann_day0_date,ann_prev_close,ann_gap_pct,ann_day0_ret_pct,ann_2d_high_ret_pct,ann_day0_vol_mult,ann_to_vote_ret_pct,vote_day_close,last_old_date,last_old_close,vote_to_lastold_ret_pct,flip_day0_date,flip_open,flip_close,flip_high,flip_volume,flip_gap_pct,flip_day_ret_pct,flip_high_ret_pct,post_flip_ret_1d_pct,post_flip_ret_3d_pct,post_flip_ret_5d_pct,post_flip_ret_10d_pct,max_runup_10d_pct,max_drawdown_10d_pct,untraded_gap_days,flip_lag_cal_days,split_at_flip,theme,year,era,premium_entry,high_redemption,ann_popped
1708176,Hall of Fame Resort & Entertainment Co,"HOFV, HOFVW",2020-07-01,2020-07-08,0001213900-20-016991,"1.01,2.01,3.02,5.01,5.02,5.06,9.01",6770.0,8-K,,,7990.0,Services-Miscellaneous Amusement & Recreation,Hall of Fame Resort & Entertainment Co,Gordon Pointe Acquisition Corp.; Gordon Pointe Acqusition Corp.,2019-11-13,PREM14A,5,2020-07-02,2020-06-30,False,True,True,"HOF Village, LLC",GPAQ,HOFV,852.0,,,,llm,True,True,,HOFV,2020-07-02,HOFV,GPAQ,0.0,True,2020-07-02,7990.0,SERVICES-MISCELLANEOUS AMUSEMENT & RECREATION,Hall of Fame Resort & Entertainment Company Common Stock,424729400.05,,2870000.0,ok,first_aggs_bar,0.0,2869148.0,0.0,media_gaming,3,False,2019-11-13,10.4803,0.09,0.09,0.09,24.8,22.5,12.85,2020-07-01,12.0,-6.61,2020-07-02,10.74,9.295,12.31,976495.0,-10.5,-22.54,2.58,-34.67,-30.04,-46.25,-53.33,2.58,-57.75,0.0,1.0,False,media,2020,2020-21,True,False,False
1590895,"Caesars Entertainment, Inc.",CZR,2020-07-17,2020-07-21,0001193125-20-196232,"1.01,1.02,2.01,2.03,3.03,4.01,5.02,5.03,9.01",7011.0,8-K,CZR,Nasdaq,7011.0,Hotels & Motels,"Caesars Entertainment, Inc.","Eldorado Resorts, Inc.; Eclair Holdings Co",2019-06-24,425,8,2020-07-02,2020-06-29,True,False,True,,ERI,CZR,,,7.0,,super8k,True,True,7.0,CZR,2020-07-21,CZR,ERI,1.0,True,2014-09-19,7011.0,HOTELS & MOTELS,"Caesars Entertainment, Inc. Common Stock",6078216307.84,,77860000.0,ok,ticker_event,,,7.0,media_gaming,4,False,2019-06-24,51.22,-9.2,-10.64,-6.95,28.4,-13.5,39.59,2020-07-20,38.24,-3.41,2020-07-21,38.9,38.4,39.5,8004584.0,1.73,0.42,3.29,0.0,-11.74,-20.84,-11.27,3.29,-24.01,0.0,4.0,False,crypto,2020,2020-21,True,False,False
1739566,"Utz Brands, Inc.",UTZ,2020-08-28,2020-09-03,0001104659-20-102266,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,5.03",2090.0,8-K,UTZ,NYSE,2090.0,Miscellaneous Food Preparations & Kindred Products,"Utz Brands, Inc.",Collier Creek Holdings,2020-06-05,425,1,2020-08-27,2020-08-27,True,False,True,,CCH,UTZ,0.0,,,,llm,True,True,,UTZ,2020-08-31,UTZ,CCH,1.0,True,2018-11-26,2090.0,MISCELLANEOUS FOOD PREPARATIONS & KINDRED PRODUCTS,"Utz Brands, Inc.",693245187.63,,44000000.0,ok,ticker_event,0.0,44000000.0,0.0,consumer,10,False,2020-06-05,10.9,10.0,16.97,22.34,314.9,22.43,15.61,2020-08-28,16.34,4.68,2020-08-31,18.95,18.4,19.16,3586681.0,15.97,12.61,17.26,9.42,-1.84,9.3,10.53,17.26,-2.2,0.0,3.0,False,other,2020,2020-21,True,False,True
1759631,Hyliion Holdings Corp.,HYLN,2020-10-01,2020-10-07,0001213900-20-030492,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3713.0,8-K,HYLN,NYSE,3713.0,Truck & Bus Bodies,Hyliion Holdings Corp.,Tortoise Acquisition Corp.,2020-07-10,PREM14A,1,2020-10-01,2020-09-28,False,False,True,"Reorganization, dated June 18, 2020",,,3308.0,,,10.15,llm,True,True,,HYLN,2020-10-02,HYLN,SHLL,1.0,True,2020-10-01,3713.0,TRUCK & BUS BODIES,Hyliion Holdings Corp.,736491501.1999999,,23300000.0,ok,ticker_event,0.0,23296692.0,0.0,energy,1,False,2020-07-10,26.91,-0.59,-0.07,4.98,0.7,78.51,48.0,2020-10-01,44.91,-6.44,2020-10-02,39.99,39.5,44.9,7603655.0,-10.96,-12.05,-0.02,-12.8,-34.54,-33.8,-39.88,-0.02,-41.53,0.0,1.0,False,other,2020,2020-21,True,False,False
1793229,MultiPlan Corp,"MPLN, MPLNW",2020-10-08,2020-10-09,0001104659-20-113620,"1.01,2.01,3.02,4.01,5.01,5.03,5.06,5.07,9.01",7389.0,8-K,CTEV,NYSE,7389.0,"Services-Business Services, NEC",Claritev Corp,MultiPlan Corp; Churchill Capital Corp III; Butler Acquisition Corp,2020-07-31,PREM14A,1,2020-10-09,2020-10-08,False,False,True,Churchill,CCXX,MPLN,8693855.0,,,10.03,super8k,True,True,,CTEV,2020-10-09,MPLN,CCXX,2.0,True,2020-04-03,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Claritev Corporation,532572928.36,,137500000.0,ok,first_aggs_bar,6.3,128806145.0,6.3,software_ai,0,True,2020-07-31,10.6,-0.47,-2.26,0.85,0.9,-5.02,9.84,2020-10-08,9.84,0.0,2020-10-09,10.1,9.82,10.47,1402739.0,2.64,-0.2,6.4,-8.54,-11.28,-4.78,-21.44,6.4,-28.35,0.0,1.0,False,ai,2020,2020-21,False,False,False
1741231,"Tattooed Chef, Inc.",TTCFQ,2020-10-15,2020-10-21,0001213900-20-032445,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,9.01",2090.0,8-K,,,2090.0,Miscellaneous Food Preparations & Kindred Products,"Tattooed Chef, Inc.",Forum Merger II Corp,2020-08-11,PREM14A,4,2020-10-15,2020-10-15,False,False,True,Ittella Parent continuing as the surviving corporation,FMCI,TTCF,19995411.0,,,10.37,vote8k,True,True,,TTCFQ,2020-10-16,TTCF,FMCI,0.0,,,,,,,,25650000.0,ok,first_aggs_bar,78.0,5654589.0,78.0,other,1,False,2020-08-11,15.99,3.06,-2.75,3.12,1.1,54.79,24.07,2020-10-15,24.07,0.0,2020-10-16,24.08,25.13,27.2,1786595.0,0.04,4.4,13.0,-2.83,-15.0,-20.15,-28.75,13.0,-32.49,0.0,1.0,False,other,2020,2020-21,True,False,False
1759546,Lordstown Motors Corp.,NRDE,2020-10-23,2020-10-29,0001104659-20-119279,"1.01,2.01,3.02,4.01,5.01,5.02,5.06,9.01",3711.0,8-K,NRDE,OTC,3711.0,Motor Vehicles & Passenger Car Bodies,NU RIDE INC.,Lordstown Motors Corp.; DiamondPeak Holdings Corp.,2020-08-24,PREM14A,1,2020-10-22,2020-10-22,False,False,True,,DPHC,RIDE,970.0,,,10.14,llm,True,True,,NRDE,2020-10-26,RIDE,DPHC,3.0,True,,,,NU RIDE INC,,,28000000.0,ok,first_aggs_bar,0.0,27999030.0,0.0,other,0,False,2020-08-24,13.34,3.52,6.22,9.07,1.1,44.32,20.45,2020-10-23,18.21,-10.95,2020-10-26,19.32,18.97,21.75,4986198.0,6.1,4.17,19.44,-9.06,-19.06,-28.23,-1.92,19.44,-29.71,0.0,3.0,False,other,2020,2020-21,True,False,True
1776661,Advantage Solutions Inc.,"ADV, ADVWW",2020-10-28,2020-11-03,0001193125-20-284770,"1.01,2.01,2.03,3.02,5.01,5.02,5.06,8.01,9.01",7389.0,8-K,ADV,Nasdaq,7389.0,"Services-Business Services, NEC",Advantage Solutions Inc.,Advantage Solutions Inc.; Conyers Park II Acquisition Corp.,2020-09-10,PREM14A,1,2020-10-28,2020-10-27,False,False,True,,CPAA,ADV,32114818.0,,40.0,10.06,super8k,True,True,40.0,ADV,2020-10-29,ADV,CPAA,1.0,True,2020-10-29,7389.0,"SERVICES-BUSINESS SERVICES, NEC",Advantage Solutions Inc. Class A Common Stock,530348719.2,,45000000.0,ok,first_aggs_bar,71.4,12885182.0,71.4,consumer,8,False,2020-09-10,10.42,0.86,-0.38,0.86,20.9,-16.57,8.66,2020-10-28,8.86,2.31,2020-10-29,9.6989,9.5,9.8105,117519.0,9.47,7.22,10.73,1.47,-6.32,-5.76,11.96,14.9,-10.95,0.0,1.0,False,biotech,2020,2020-21,False,False,False
1720990,Fisker Inc./DE,FSRNQ,2020-10-29,2020-11-04,0001193125-20-285584,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.06,9.01",3711.0,8-K,,,3711.0,Motor Vehicles & Passenger Car Bodies,Fisker Inc./DE,Spartan Energy Acquisition Corp.,2020-08-07,PREM14A,2,2020-10-28,2020-10-28,False,False,True,,,FSR,2004297.0,,,10.4,super8k,True,True,,FSRNQ,2020-10-30,FSR,SPAQ,0.0,,,,,,,,55200000.0,ok,first_aggs_bar,3.6,53195703.0,3.6,other,0,False,2020-08-07,12.37,3.48,-0.08,5.09,1.3,-25.97,9.15,2020-10-29,8.96,-2.08,2020-10-30,9.25,10.14,10.66,21175610.0,3.24,13.17,18.97,26.23,21.87,21.21,94.64,102.57,-0.67,0.0,1.0,False,other,2020,2020-21,False,False,True
1791091,"SOC Telemed, Inc.",,2020-10-30,2020-11-05,0001213900-20-035335,"1.01,2.01,3.02,3.03,4.01,5.01,5.02,5.03,5.06",8090.0,8-K,,,8090.0,"Services-Misc Health & Allied Services, NEC","SOC Telemed, Inc.",Healthcare Merger Corp.,2020-07-29,425,1,2020-10-30,2020-10-30,True,False,True,,HCCO,TLMD,18606033.0,,,10.06,super8k,True,True,,TLMD,2020-11-02,TLMD,HCCO,0.0,True,2020-01-28,8090.0,"SERVICES-MISC HEALTH & ALLIED SERVICES, NEC","SOC Telemed, Inc. Class A Common Stock",806137474.99,,25700000.0,ok,first_aggs_bar,72.4,7093967.0,72.4,biotech_health,1,False,2020-07-29,10.41,1.02,5.52,13.83,146.7,-16.07,9.22,2020-10-30,9.22,0.0,2020-11-02,10.0,8.97,10.0,70429.0,8.46,-2.71,8.46,1.74,1.95,-4.66,-10.3,8.46,-17.35,0.0,3.0,False,other,2020,2020-21,False,False,True
1690080,180 Life Sciences Corp.,"ATNF, ATNFW",2020-11-06,2020-11-12,0001213900-20-036383,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,9.01",6770.0,8-K,FRMM,Nasdaq,6199.0,Finance Services,FORUM MARKETS Inc,ETHZilla Corp; 180 Life Sciences Corp.; KBL MERGER CORP. IV,2019-07-26,425,7,2020-11-06,2020-11-05,True,True,True,,KBLM,ATNF,816461.0,,,11.03,llm,True,True,,FRMM,2020-11-09,ATNF,KBLM,2.0,True,2017-06-27,6199.0,FINANCE SERVICES,"Forum Markets, Incorporated Common Stock",78732464.2,,5370000.0,ok,first_aggs_bar,15.2,4553539.0,15.2,crypto,1,True,2019-07-26,10.46,0.86,0.19,0.86,21.1,-42.27,6.05,2020-11-06,4.99,-17.52,2020-11-09,3.97,3.09,3.97,251216.0,-20.44,-38.08,-20.44,-42.08,-42.08,-54.91,-39.28,-20.44,-61.92,0.0,3.0,False,crypto,2020,2020-21,False,False,False
1801368,MP Materials Corp. / DE,MP,2020-11-17,2020-11-17,0001193125-20-296150,"1.01,2.01,3.02,3.03,5.01,5.02,5.06,7.01,9.01",1000.0,8-K,MP,NYSE,1000.0,Metal Mining,MP Materials Corp. / DE,Fortress Value Acquisition Corp.,2020-07-15,425,2,2020-11-16,2020-11-16,True,False,True,"MPMO HoldCo and SNR HoldCo, respectively",FVAC,MP,0.0,,,11.5,llm,False,True,,MP,2020-11-18,MP,FVAC,1.0,True,2020-11-18,1000.0,METAL MINING,MP Materials Corp.,9294538957.58,,34500000.0,ok,ticker_event,0.0,34500000.0,0.0,energy,3,False,2020-07-15,10.0,19.4,9.9,19.9,872.4,27.39,14.0,2020-11-17,14.39,2.79,2020-11-18,17.1,15.09,17.5,5109873.0,18.83,4.86,21.61,9.31,30.65,54.9,53.65,70.6,4.24,0.0,1.0,False,mining,2020,2020-21,True,False,True
1805077,"Eos Energy Enterprises, Inc.","EOSE, EOSEW",2020-11-16,2020-11-20,0001213900-20-038551,"1.01,2.01,2.02,3.02,3.03,4.01,5.01,5.02,9.01",3690.0,8-K,"EOSE,EOSER","Nasdaq,Nasdaq",3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies","Eos Energy Enterprises, Inc.",B. Riley Principal Merger Corp. II,2020-09-11,PREM14A,1,2020-11-12,2020-11-12,False,False,True,Merger Sub I with and into Eos HoldCo,BMRG,EOSE,6442195.0,,,11.5,super8k,True,True,,EOSE,2020-11-17,EOSE,BMRG,1.0,True,2020-11-17,3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES","Eos Energy Enterprises, Inc. Class A Common Stock",1561129323.6,,18150000.0,ok,ticker_event,35.5,11707805.0,35.5,energy,1,False,2020-09-11,10.51,0.86,-1.05,1.71,3.8,1.15,10.52,2020-11-16,10.68,1.52,2020-11-17,10.5,10.59,10.85,523611.0,-1.69,-0.84,1.59,13.67,31.74,32.3,29.31,52.43,-3.32,0.0,1.0,False,solar_renew,2020,2020-21,True,False,False
1698113,"PARTS iD, Inc.",,2020-11-20,2020-11-27,0001213900-20-039479,"1.01,2.01,3.02,3.03,5.01,5.02,5.03,5.06,9.01",7311.0,8-K,,,7311.0,Services-Advertising Agencies,"ID Auto, Inc.","PARTS iD, Inc.; Legacy Acquisition Corp.",2019-12-02,PREM14A,10,2020-11-20,2020-11-19,False,False,True,,LGC,ID,,,,,,False,True,,ID,2020-11-23,ID,LGC,0.0,True,2020-11-23,7311.0,SERVICES-ADVERTISING AGENCIES,"PARTS iD, Inc.",232214192.0,,6120000.0,ok,first_aggs_bar,,,,industrial,1,False,2019-12-02,10.25,0.0,0.2,0.2,3.3,-21.57,8.055,2020-11-20,8.095,0.5,2020-11-23,8.1,6.01,8.2083,118968.0,0.06,-25.76,1.4,-26.74,-27.86,-28.97,-27.12,1.4,-30.57,0.0,3.0,False,other,2020,2020-21,False,False,False
1811414,QuantumScape Corp,QS,2020-11-25,2020-12-02,0001193125-20-308489,"1.01,2.01,3.01,3.02,3.03,5.01,5.02,5.06,9.01",3690.0,8-K,QS,Nasdaq,3690.0,"Miscellaneous Electrical Machinery, Equipment & Supplies",QuantumScape Corp,Kensington Capital Acquisition Corp.,2020-09-03,425,1,2020-11-27,2020-11-25,True,False,True,Legacy QuantumScape surviving as the surviving company and as,KCAC,QS,15255.0,,,10.0038583,llm,True,True,,QS,2020-11-27,QS,KCAC,1.0,True,2020-11-27,3690.0,"MISCELLANEOUS ELECTRICAL MACHINERY, EQUIPMENT & SUPPLIES",QuantumScape Corporation Class A Common Stock,4047654600.08,,23000000.0,ok,ticker_event,0.1,22984745.0,0.1,ev_mobility,2,True,2020-09-03,10.0,62.0,87.4,157.5,4715.4,25.4,23.5,2020-11-25,23.5,0.0,2020-11-27,24.8,37.0,40.0,23598103.0,5.53,57.45,70.21,100.0,60.47,80.85,172.98,272.34,4.26,1.0,2.0,False,quantum,2020,2020-21,True,False,True
