cik,ticker_current,exchange,sic_current,sic_desc,entity_name,former_names,ann_date,ann_source,n_vote_8ks,vote_8k_date,vote_date,has_425,sic_6770_at_close,name_change_near_close,target_name,old_ticker_edgar,new_ticker_edgar,redeemed_shares,remaining_shares,redemption_pct_stated,trust_per_share,redemption_source,mentions_trust,is_spac,redemption_pct
1849820,"KITT,KITTW","Nasdaq,Nasdaq",3569,"General Industrial Machinery & Equipment, NEC","Nauticus Robotics, Inc.",cleantech Acquisition Corp.,2021-12-17,425,0,,,True,False,True,Merger,CLAQ,KITT,,,65.0,9.2,super8k,True,True,65.0
1899287,"AMPX,AMPX-WT","NYSE,NYSE",3690,"Miscellaneous Electrical Machinery, Equipment & Supplies","Amprius Technologies, Inc.",Kensington Capital Acquisition Corp. IV,2022-05-12,425,1,2022-09-14,2022-09-13,True,False,True,Legacy Amprius surviving as,KCAC,AMPX,16517276.0,,,10.04,super8k,False,True,
1812360,"FOXO,FOXOW","OTC,OTC",8731,Services-Commercial Physical & Biological Research,FOXO TECHNOLOGIES INC.,Delwinds Insurance Acquisition Corp.,2022-02-25,425,3,2022-09-15,2022-09-14,True,False,True,,DWIN,WS,7967679.0,,10.0,10.14,super8k,True,True,10.0
1830081,"RUM,RUMBW","Nasdaq,Nasdaq",7370,"Services-Computer Programming, Data Processing, Etc.",RUM Group Inc.,Rumble Inc.; CF Acquisition Corp. VI,2021-12-02,425,1,2022-09-16,2022-09-15,True,False,True,,CFVI,RUM,,,0.1,,vote8k,False,True,0.1
1841209,"HOLO,HOLOW","Nasdaq,Nasdaq",7370,"Services-Computer Programming, Data Processing, Etc.",MicroCloud Hologram Inc.,Golden Path Acquisition Corp,2021-09-30,S-4,1,2022-09-09,2022-09-08,False,False,True,Golden Path and continue its business operations,GPCO,HOLO,2178172.0,,,,vote8k,False,True,
1822145,,,7372,Services-Prepackaged Software,Presto Automation Inc.,Ventoux CCM Acquisition Corp.,2021-11-12,425,2,2022-09-14,2022-09-14,True,False,True,,VTAQ,PRST,,,,10.2,,False,False,
1826553,,,6770,Blank Checks,Silver Crest Acquisition Corp,,2021-08-16,425,1,2022-08-19,2022-08-18,True,True,False,,SLCR,SLCR,34143739.0,,,10.037,vote8k,False,True,
1898795,"LVWR,LVWR-WT","NYSE,NYSE",3751,"Motorcycles, Bicycles & Parts","LiveWire Group, Inc.","LW EV Holdings, Inc.",2021-12-13,425,0,,,True,False,True,"December 12, 2021, with LiveWire",,LVWR,36597112.0,,,10.06,super8k,True,True,
1895262,"NE,NE-WT,NE-WTA","NYSE,NYSE,NYSE",1381,Drilling Oil & Gas Wells,Noble Corp plc,Noble Finco Ltd,2022-04-13,425,0,,,True,False,True,,NE,NE,,,90.0,,super8k,False,True,90.0
1674356,"TPTA,TPTS","NYSE,NYSE",6798,Real Estate Investment Trusts,"Terra Property Trust, Inc.",,2022-05-02,425,0,,,True,False,False,,TPTA,TPTA,,,,,,False,False,
