ticker,date,top_bucket,t_top,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,rvol_score,atr_pct,atr_pct_move,gap_pct,consecutive_up_days,uvxy_close,pct_change_3,pct_change_15,pct_from_20mav,day_of_range_pct,percent_of_premarket_vol,vol_ratio_5min_to_pm,spy_5day_return,gap_from_pm_high,reversal_duration,reversal_open_low_pct,reversal_open_close_pct,setup,trade_grade,cap
BBBY,2021-01-25,post10,2021-01-25 10:43:00-05:00,True,2.149818,1.02495,1.0974857310112687,8.0,0.06720948673216949,0.16403772695581514,6.280727387527213,100.0,0.47751189274902694,0.038603027753806085,0.30516999872660144,80.0,5.0,0.0,-14.0,-0.0007251666508020782,2.373108919354839,3.5469999999999997,0.0998535152641761,False,91.0,4.498606809,0.081253268,-1.469516093,0.15326051,1,25000.0,0.395273128,0.9617045,1.145987954,4.723517835,0.137814169,2.155582031,0.01527242,-0.018591565,0 days 01:38:00,-0.130022962,-0.119402985,3DGapFade,A,Medium
AMC,2021-01-27,premarket,2021-01-27 09:13:00-05:00,True,7.83185,3.8149,1.052963380429369,8.0,0.09458823533041892,0.2592764379174351,3.6963449235758876,100.0,1.5701677558445057,0.11925471461225345,0.4652967159592858,80.0,,,,,,,,,,7.306693257,0.077462312,2.9671,3.100806452,4,26375.0,4.794871795,9.272727273,4.83882994,9.990269218,1.668841658,0.043097438,-0.000260491,-0.211627907,0 days 00:39:00,-0.458702065,-0.021632252,1DMeanRevert,A,Medium
PLTR,2021-01-28,premarket,2021-01-28 08:00:00-05:00,True,1.7851741666666667,1.7266499999999998,0.033894632187569496,8.0,0.0974086072905407,0.20122040689299045,-0.31564380613119475,100.0,1.1889579107505068,0.10928798755925707,0.0457573738719641,20.0,,,,,,,,,,1.333218496,0.0679,0.0374,0.013846154,1,34675.0,0.091360751,0.679694138,0.509949489,2.166964059,0.067738467,0.619822468,-0.025582969,-0.097260274,0 days 00:48:00,-0.16287304,-0.098128477,GapDownTrendBreak,B,Medium
BBBY,2021-01-28,premarket,2021-01-28 08:22:00-05:00,True,3.667730166666667,4.04875,-0.09410801687763715,8.0,0.3978747493595599,0.7155594374834735,-0.6875498253051269,100.0,4.657839575181666,0.2548912269586729,0.9823006683150137,60.0,,,,,,,,,,2.107747362,0.124819833,-1.482757301,-0.219512195,5,34675.0,0.345503372,0.962909688,0.93269855,3.388675834,0.160210578,0.627056202,-0.025582969,-0.288275713,0 days 02:22:00,-0.271317829,-0.185077519,GapDownTrendBreak,B,Medium
GME,2021-01-28,premarket,2021-01-28 06:04:00-05:00,True,8.215684428571429,7.47675,0.09883096647225442,8.0,0.15264224573506033,0.3574966938940903,-0.15052245288385155,100.0,1.9078269324258628,0.18578005563055217,0.5067257796362536,60.0,,,,,,,,,,0.987336776,0.0645,0.9971,-0.237432016,5,34675.0,2.450970178,13.4335512,6.879603573,5.940619669,0.134855491,0.119836334,-0.025582969,-0.483551606,0 days 01:09:00,-0.576415094,-0.269433962,2DBreakoutIB,A,Medium
AMC,2021-01-28,premarket,2021-01-28 06:04:00-05:00,True,8.886015,7.75665,0.14559958229390269,8.0,0.18660895099841704,0.3648228642063557,-0.11240898728682236,100.0,2.365725071595938,0.19219917266269562,1.0156566706512136,80.0,,,,,,,,,,2.971312005,0.066,0.3528,-0.39798995,5,34675.0,1.71040724,4.960199005,3.337539432,5.375813713,0.487559652,0.163102759,-0.025582969,-0.479130435,0 days 01:26:00,-0.456594324,-0.279632721,GapDownTrendBreak,A,Medium
INO,2021-02-02,premarket,2021-02-02 07:49:00-05:00,True,2.6960509999999998,2.4892,0.08309938936204397,8.0,0.13784796596233215,0.1508244277385231,-0.3629954207099867,100.0,1.9393635236464544,0.16448703372367673,0.07191456377572991,20.0,,,,,,,,,,2.281613103,0.058,0.1395,0.118514151,2,33600.0,0.732420091,1.088057237,0.808060142,2.824009533,0.199019483,0.894896931,-0.019698272,-0.039007092,0 days 01:05:00,-0.271481286,-0.204533474,2DBreakoutIB,A,Small
SPCE,2021-02-02,premarket,2021-02-02 04:04:00-05:00,True,2.0379544999999997,1.98605,0.026134538405377272,8.0,0.18103918028396376,0.26033902439005435,-0.5950112252341384,75.0,0.8646605952492725,0.12335063605130271,-0.1684948712581118,0.0,,,,,,,,,,1.49326697,0.115154529,-1.48364349,0.089235917,2,33600.0,0.35908142,1.351123596,0.706862402,1.626253613,0.111324091,0.87990805,-0.019698272,-0.03476112,0 days 06:04:00,-0.192694999,-0.170848268,2DBreakoutIB,A,Medium
CCIV,2021-02-19,premarket,2021-02-19 05:15:00-05:00,True,2.9731008,2.8018,0.06113955314440722,8.0,0.05818820155587775,0.1063082807496292,0.02776219846392133,100.0,0.12957587485889355,0.024599833652473625,0.20450539529684875,80.0,,,,,,,,,,1.047215946,0.159889094,-0.744191995,0.035142119,4,23375.0,0.140227704,1.690998657,0.821950431,1.562934215,0.036137596,1.032894842,2.56e-05,-0.030806452,0 days 00:15:00,-0.162589449,-0.118988184,GapDownTrendBreak,C,Medium
GME,2021-03-10,post10,2021-03-10 12:16:00-05:00,True,3.9089601625,3.69005,0.05932444343572585,8.0,-0.0017871258228516762,0.19057461217396957,0.32067004393423976,50.0,-0.36879602466622763,-0.06436009724210884,0.36681174182794707,100.0,0.0,0.0,,0.004840620678712826,4.068840030913979,4.734321,0.12189975198186129,False,70.0,1.808956339,0.174568733,0.4277,0.091251519,5,21000.0,0.956076666,4.864823683,2.377216147,3.815332355,0.046458706,1.104466291,0.015075245,-0.061219512,0 days 00:14:00,-0.361615262,-0.016442119,3DGapFade,A,Medium
AMC,2021-06-03,premarket,2021-06-03 04:56:00-04:00,True,6.015534499999999,5.05005,0.1911831566024098,8.0,0.24074719792850385,0.29799436648164807,-0.16632543061563695,100.0,2.856913735823118,0.17917848882442297,0.36213569973971316,40.0,,,,,,,,,,2.47848941,0.16635692,2.1096,-0.071143086,2,8995.0,1.224349158,4.629844961,2.547854785,3.646043721,0.19089746,0.556432615,0.003006658,-0.235526316,0 days 02:54:00,-0.351807229,-0.116351119,2DBreakoutIB,A,Medium
BB,2021-06-03,premarket,2021-06-03 04:50:00-04:00,True,5.535827166666667,3.6363,0.5223791124678019,8.0,0.3109990970305278,0.22167307647741982,0.9535664808568026,100.0,5.669050894085282,0.2810847550633543,1.5099568593615187,100.0,,,,,,,,,,9.244441125,0.0327,0.3478,0.241967213,5,8995.0,0.880834161,1.382389937,1.124611576,4.551871363,0.945338196,0.68462598,0.003006658,-0.043434343,0 days 02:20:00,-0.28405491,-0.16156283,2DBreakoutIB,A,Medium
BBBY,2021-06-03,premarket,2021-06-03 04:11:00-04:00,True,2.6076005714285717,2.42545,0.07509970167538871,8.0,0.10724935230413442,0.1071839171817786,-0.2999484575117879,100.0,3.519191354574251,0.21177033124444092,2.0186060983198506,100.0,,,,,,,,,,3.549057821,0.069435122,-2.478194075,-0.128083277,1,8995.0,0.376561671,0.628487477,0.470848801,3.505001107,0.132704828,1.29817912,0.003006658,-0.098291951,0 days 03:20:00,-0.175966779,-0.172073709,GapDownTrendBreak,B,Medium
WISH,2021-06-09,premarket,2021-06-09 04:01:00-04:00,True,4.0902819,2.53025,0.6165524750518723,8.0,0.05718592624714743,0.06961349531138893,8.035317667969636,100.0,1.7000853697577631,0.11743211488309334,1.087234481336358,100.0,,,,,,,,,,7.5869425,0.1003,0.093,0.261392949,1,8420.0,0.76960193,0.631813126,0.684163252,3.917133483,0.913613127,0.603692881,0.004639212,-0.118918919,0 days 06:26:00,-0.30129516,-0.277436946,2DGapFade,A,Medium
CLOV,2021-06-09,open30,2021-06-09 09:31:00-04:00,True,4.005385625,3.1279,0.2805350634611081,8.0,0.21308411522299447,0.3796830243706667,0.17765068203909073,100.0,2.0070178811766968,0.15660648140269665,1.6799468791500667,100.0,,,,,,,,,29.0,5.351623065,0.0503,0.2825,0.264108352,6,8420.0,2.111111111,3.017216643,2.217352515,4.72350553,0.497165725,0.751477406,0.004639212,-0.010600707,0 days 06:19:00,-0.4,-0.395714286,3DGapFade,A,Medium
SPCE,2021-06-29,premarket,2021-06-29 04:01:00-04:00,True,1.5500915000000002,1.56945,-0.012334575806811188,8.0,0.11323301031743448,0.25310091464814005,-0.4961166825446256,87.5,0.6949619309897941,0.08997619099176012,0.6261202921825624,80.0,,,,,,,,,,1.888846333,0.085551484,-1.180061625,-0.046316557,0,6877.5,0.299056135,0.395038677,0.39854666,2.119723948,0.060290745,1.520726654,0.010304649,-0.026070764,0 days 05:25:00,-0.121032505,-0.100956023,PriorDayLowBreak,B,Medium
SPCE,2021-07-12,premarket,2021-07-12 04:01:00-04:00,True,1.649983675,2.43645,-0.32279190010055603,8.0,0.07977850950125007,0.13616032528460367,-2.9565911271168708,50.0,0.5177536908988971,0.08347051653010493,0.27449390594758594,80.0,,,,,,,,,,2.246141779,0.099195511,-1.802594513,0.007113821,1,7722.5,0.103072128,0.346467391,0.176020763,1.638470903,0.229407289,0.709129434,0.001138396,-0.082407407,0 days 05:40:00,-0.196569122,-0.178809284,ConsolidationBreakdown,B,Medium
