ticker,date,low_bucket,t_low,has_series,open_iv,prior_close_iv,iv_gap_open,n_controls,ctrl_gap_mean,ctrl_gap_std,iv_gap_z,open_iv_pctile,iv_runup_chg,iv_ramp_slope,iv_ramp_final2d,iv_ramp_final2d_pctile,iv_lead,iv_lead_pre,t_vel_zero_cross,accel_sign_pre,iv_base,iv_at_top,iv_runup_slope,iv_divergence,win_bars,prior_close_iv_pctile,selloff_total_pct,consecutive_down_days,gap_pct,rvol_score,atr_pct_move,pct_off_30d_high,closed_outside_lower_band,uvxy_close,bounce_open_low_pct,bounce_open_close_pct,bounce_duration,trade_grade,cap,Setup
UPRO,2018-02-06,open30,2018-02-06 09:31:00-05:00,True,1.2205807499999999,0.76615,0.5931354826078443,8.0,0.1365573675316216,0.11643567817752831,3.9212904688894636,100.0,1.422608695652174,0.11353541570498024,1.062592542737919,100.0,,,,,,,,,29.0,100.0,-0.1911506411765344,3.0,-0.051788672,1.907843368,4.004246776,-0.2631507530869782,True,285875.0,-0.012276717,0.115528631,0 days 06:05:00,A,ETF,3DGapFade_strongstock
FIG,2026-02-04,post10,2026-02-04 10:00:00-05:00,True,1.0123156,0.90835,0.11445544118456552,8.0,0.08511802775169688,0.09712505363499285,0.3020581439586331,100.0,0.45896241567619644,0.03876946041249985,0.3281912560315836,100.0,-5.0,-5.0,,-0.007887688348033679,1.0417466466666667,1.2287344,0.11216302341591525,True,58.0,100.0,-0.2884231536926147,4.0,-0.017297803,2.28882249,1.191834373,-0.476854156296665,False,36.72,-0.055661275,0.070884872,0 days 04:22:00,A,Medium,3DGapFade_weakstock
IGV,2026-02-04,post10,2026-02-04 10:00:00-05:00,True,0.4421362857142858,0.3574,0.23709089455592003,8.0,0.029432677419518032,0.07376509437941609,2.815128468056951,100.0,0.2984559491371481,0.035241977363752064,0.17276456111566896,100.0,3.0,-9.0,-20.0,0.14231371451970043,0.4444785714285714,0.4628698571428572,0.1662834651778592,True,58.0,100.0,-0.1358162129339135,6.0,-0.015692704,4.173166857,-0.11431782,-0.230205614324312,True,36.72,-0.029982153,-0.002498513,,B,ETF,3DGapFade_weakstock
RIOT,2024-01-03,open30,2024-01-03 09:32:00-05:00,True,1.452426,1.4871,-0.023316522089973812,8.0,0.07263926250234934,0.11133565428603036,-0.8618603376219888,87.5,0.3269977245348683,0.048509798618727756,0.08156660242190639,20.0,,,,,,,,,30.0,100.0,-0.1723952738990333,3.0,-0.0921479558728098,0.797450179261091,0.9606708975763776,-0.2538666666666666,False,210.75,-0.0171551107934238,0.0750536097212293,,A,Large,GapFade_strongstock
HUT,2024-01-03,open30,2024-01-03 09:32:00-05:00,True,1.9886805,2.0051,-0.008188868385616721,8.0,0.0859583284014555,0.07546519514737972,-1.2475578523742965,87.5,0.5108884032853591,0.06767256590011282,0.08824966078697427,40.0,,,,,,,,,30.0,100.0,-0.3048275862068966,3.0,-0.0714285714285714,0.73826339538822,0.3731524659933791,-0.3648208469055375,False,210.75,-0.0143162393162392,0.0538461538461539,,B,Medium,GapFade_strongstock
DPST,2024-02-02,open30,2024-02-02 09:30:00-05:00,True,1.24520925,1.0721,0.16146744706650495,8.0,0.06818017722495427,0.07301948520045651,1.277566797211102,100.0,0.27479191438763384,0.0275314328750378,0.20772783598062428,100.0,,,,,,,,,28.0,100.0,-0.2639156443272838,3.0,-0.0643250688705232,1.2825864606838542,1.118393706687167,-0.3416359759643341,True,198.5,-0.0101575150890624,0.0806712792580596,0 days 01:05:00,A,Medium,GapFade_strongstock
NVDA,2024-07-25,post10,2024-07-25 10:13:00-04:00,True,0.6454740000000001,0.5709500000000001,0.13052631578947382,8.0,0.04664364339228376,0.06701475503315237,1.2517045291845519,100.0,0.1535508637236085,0.008174310567758273,0.12447070408665706,80.0,1.0,0.0,-21.0,-0.04153607188430098,0.639854,0.7202105000000001,0.3056523405593453,False,71.0,100.0,-0.0751983163347904,2.0,-0.0105908096280086,1.5354303290319946,-0.1697708084133083,-0.19693094629156,True,139.15,-0.0596249115357396,-0.0067232837933475,0 days 00:41:00,B,Large,GapFade_strongstock
MSTR,2024-12-20,open30,2024-12-20 09:30:00-05:00,True,0.9976474545454546,0.9557,0.04389186412624735,8.0,-0.019341450897444736,0.04064562298730817,1.5557226184831034,37.5,-0.15357364272429364,-0.030619691943175886,0.03829648541474273,100.0,,,,,,,,,28.0,14.285714285714285,-0.2011647539579612,4.0,-0.0217178214788947,0.803144204741748,1.1980371140576511,-0.411841620626151,True,143.85,-0.0074208598177662,0.1403701036415442,0 days 06:23:00,B,Large,GapFade_strongstock
RGTI,2024-12-20,open30,2024-12-20 09:35:00-05:00,True,2.2356295,2.38375,-0.06213759832197174,8.0,0.017482599409515624,0.10363838822864446,-0.7682500576507544,12.5,-0.0036572622779519337,-0.010156563688543957,0.03763113219866798,100.0,,,,,,,,,33.0,42.857142857142854,-0.3288409703504044,2.0,-0.0281124497991967,1.382979070421521,1.0760935156687506,-0.4305882352941176,False,143.85,-0.0454545454545454,0.2906336088154269,0 days 04:27:00,A,Large,GapFade_strongstock
CLSK,2024-08-05,open30,2024-08-05 09:31:00-04:00,True,1.8450625,1.3982,0.31959841224431407,8.0,0.0432045553414308,0.11939188051475587,2.315013849444504,100.0,0.180015191155372,0.010399501061943376,0.47008726737461903,100.0,,,,,,,,,29.0,100.0,-0.1574999999999999,2.0,-0.2518545994065281,1.3344098263840458,2.4482526163767093,-0.5078086871644704,False,195.1,-0.0738720872583045,0.2087258304412492,0 days 01:17:00,A,Medium,GapFade_strongstock
TSLA,2024-08-05,open30,2024-08-05 09:30:00-04:00,True,0.947921875,0.5801000000000001,0.634066324771591,8.0,0.06879980324430268,0.0719721469168586,7.85396220263205,100.0,0.07326549491211853,0.005749556969069103,0.19460461285008246,100.0,,,,,,,,,28.0,100.0,-0.1051406903089585,2.0,-0.1081042037848509,0.7942680400684268,1.3855407132595132,-0.3165313653136531,False,195.1,-0.0173847316704459,0.0737501349746247,0 days 01:25:00,A,Large,GapFade_strongstock
SERV,2024-08-05,open30,2024-08-05 09:30:00-04:00,True,3.071975,2.42665,0.2659324583273237,3.0,0.047795633576037444,0.032147373826256154,6.7855254967397824,100.0,,,,,,,,,,,,,28.0,,-0.1649543378995433,2.0,-0.3041695146958305,0.383636213727926,1.0746492464265136,-0.5774180157741802,False,195.1,-0.0176817288801571,0.3379174852652259,0 days 02:19:00,A,Large,GapFade_strongstock
MARA,2024-08-05,open30,2024-08-05 09:31:00-04:00,True,1.4901802499999999,0.9863,0.5108792963601338,8.0,-0.010315427057854978,0.046965192458226994,11.097468063855235,100.0,-0.1909605446640965,-0.028216246360608578,-0.06343177286107682,40.0,,,,,,,,,29.0,0.0,-0.2030598052851181,5.0,-0.1896451425247237,0.9578551000520727,2.573003985681563,-0.4897435897435898,False,195.1,-0.0193682699210337,0.2167982770997846,0 days 06:14:00,A,Large,GapFade_weakstock
NVDA,2024-08-05,open30,2024-08-05 09:31:00-04:00,True,1.2074259999999999,0.8269,0.4601838190833232,8.0,0.06349141442838256,0.12478756073029203,3.1789418939947596,100.0,0.44828794115071346,0.04699579976976929,0.40390492359932084,100.0,,,,,,,,,29.0,100.0,-0.0833190907537173,2.0,-0.1417917404679779,1.576356006877188,1.856184193579704,-0.3238340066103562,False,195.1,-0.0148815989572018,0.0911362155116228,0 days 02:27:00,A,Large,GapFade_strongstock
RIVN,2024-08-05,open30,2024-08-05 09:30:00-04:00,True,1.3890775,1.23825,0.12180698566525328,8.0,0.11840741194335445,0.1779888111550092,0.01909992937105556,100.0,0.7275898151377749,0.0925922340748198,0.20946473920687647,60.0,,,,,,,,,28.0,100.0,-0.1029859841560024,2.0,-0.1195652173913043,0.972480620529336,2.1126639604109942,-0.3126491646778043,True,195.1,0.0,0.1273148148148147,0 days 02:00:00,A,Large,GapFade_strongstock
JMIA,2024-08-05,open30,2024-08-05 09:31:00-04:00,True,2.5353575,2.3076,0.09869886462125144,8.0,0.046707552260740366,0.11325006788535638,0.4590841606659533,87.5,0.22960515799008885,0.057911652275224566,-0.07946385830540936,40.0,,,,,,,,,28.0,57.14285714285714,-0.1839694656488549,5.0,-0.158091674462114,0.8191072045153768,1.671013599274705,-0.401595744680851,False,195.1,-0.0099999999999999,0.1766666666666666,0 days 05:55:00,A,Medium,GapFade_strongstock
SMH,2024-08-05,open30,2024-08-05 09:31:00-04:00,True,0.89527325,0.59565,0.5030189708721564,8.0,0.08332444219199182,0.14897702809876467,2.8171761380682607,100.0,0.4983021003647343,0.04167548404120524,0.3579163342072269,100.0,,,,,,,,,29.0,100.0,-0.1156322118304384,2.0,-0.0798882937325459,1.5984979097615686,1.962351090614447,-0.2899989401914721,False,195.1,-0.0024380535376653,0.0613493879988059,0 days 02:50:00,A,ETF,GapFade_strongstock
BHC,2022-05-10,open30,2022-05-10 09:34:00-04:00,True,2.2942134999999997,1.13235,1.0260639378284098,8.0,0.06214169861085693,0.12862357643048491,7.494133392710536,100.0,0.2330937602090819,0.061056179831433,0.054329608938547436,20.0,,,,,,,,,28.0,85.71428571428571,-0.3725680933852139,8.0,-0.3798449612403101,4.5541867104034175,2.961743506452522,-0.6662494785148102,True,4872.5,-0.025,0.175,,A,Medium,GapFade_weakstock
RBLX,2022-05-11,open30,2022-05-11 09:30:00-04:00,True,1.30009125,2.15965,-0.3980083578357605,8.0,0.13922280297654163,0.23674746901670854,-2.2692160682587357,12.5,1.2595208202552834,0.07734374080851876,0.1414338944531064,40.0,,,,,,,,,26.0,100.0,-0.3351490825688074,4.0,-0.0547649849072876,3.888149357953011,1.0087840771726586,-0.5826351865955827,False,4625.0,-0.0013686131386861,0.0935218978102188,0 days 00:48:00,A,Medium,GapFade_weakstock
AFRM,2022-05-12,open30,2022-05-12 09:30:00-04:00,True,3.396595,2.8276000000000003,0.2012289574197197,8.0,0.058230734257567675,0.07390670367473991,1.9348478020543414,100.0,0.5665807917116819,0.06943258454683802,0.29611294462779636,100.0,,,,,,,,,28.0,100.0,-0.5393576826196474,5.0,-0.0334928229665071,4.591048295150479,2.6235475349137447,-0.7253835696251699,True,4575.0,-0.0353536067892503,0.2758132956152757,0 days 01:25:00,A,Medium,GapFade_weakstock
LCID,2022-05-12,open30,2022-05-12 09:40:00-04:00,False,,,,,,,,,,,,,,,,,,,,,,0.0,-0.315893385982231,5.0,-0.0209235209235209,1.6517344142014776,2.0932591115886856,-0.5176826017416031,True,4575.0,-0.0235814296241708,0.1562269712601328,0 days 01:21:00,A,Medium,GapFade_weakstock
AMC,2022-05-12,post10,2022-05-12 10:00:00-04:00,True,1.6346365,1.5144000000000002,0.07939547015319581,8.0,0.010647179632466594,0.07448000052935534,0.9230436363065405,100.0,0.1725446169331426,0.022710763345682575,-0.05097916340278852,20.0,29.0,0.0,-19.0,0.6528640575221094,1.63316095,1.645896,-0.26284321496732954,False,58.0,85.71428571428571,-0.3403307888040712,5.0,-0.0313404050144648,2.999068522062988,1.3381622968621,-0.6562991856566072,True,4575.0,-0.0343454454952713,0.1149825783972125,0 days 00:18:00,A,Medium,GapFade_weakstock
QS,2022-05-12,open30,2022-05-12 09:30:00-04:00,True,1.263609,1.26555,-0.0015337205167713641,8.0,-0.015116963125408143,0.16517707300076948,0.08223443097683115,100.0,0.34048299968223694,0.01937899782896939,0.3816048034934496,80.0,,,,,,,,,28.0,85.71428571428571,-0.3715151515151516,5.0,-0.0279652844744454,1.6959150586623015,1.169092655555543,-0.5461503827104908,True,4575.0,-0.0079365079365079,0.0932539682539682,0 days 01:36:00,A,Medium,GapFade_weakstock
SPCE,2022-05-12,open30,2022-05-12 09:40:00-04:00,True,1.2067705,1.1234,0.07421265800249244,8.0,0.03003554537752137,0.16432274836941857,0.2688435597830634,37.5,-0.11993732863298079,-0.03423753974689697,0.09857226677097564,60.0,,,,,,,,,38.0,42.857142857142854,-0.3498789346246972,5.0,-0.0223463687150838,1.556500709050554,1.3921555968427264,-0.5287253141831239,True,4575.0,-0.0209523809523809,0.1123809523809523,0 days 00:59:00,A,Medium,GapFade_weakstock
UPST,2022-05-12,open30,2022-05-12 09:30:00-04:00,True,1.7821379999999998,1.7222,0.03480315875043538,8.0,-0.00013873967662201916,0.07964050802921219,0.4387452979863048,12.5,-0.14156116040275157,-0.02124503164611022,-0.1587534193044159,20.0,,,,,,,,,28.0,14.285714285714285,-0.7007587902105376,5.0,-0.0210714285714285,1.3577986644662423,1.9300272762549344,-0.7814194577352472,True,4575.0,-0.0229843122947828,0.195913900036483,0 days 01:31:00,A,Medium,GapFade_weakstock
SI,2022-05-12,post10,2022-05-12 10:02:00-04:00,True,2.10006715,1.69795,0.236825083188551,8.0,0.0406288193504324,0.08055092242663793,2.4356799143647936,100.0,0.6929557804476794,0.08444622538417139,0.26302674154796013,60.0,0.0,0.0,,0.023457882237047728,2.0859772266666665,2.2549824000000003,0.1813462027123053,False,55.0,100.0,-0.4540804641575692,5.0,-0.0755139141378828,3.766696931099109,-0.3776562112778124,-0.5905741004520964,True,4575.0,-0.1506579942520042,-0.0364543941914989,0 days 00:13:00,A,Medium,GapFade_weakstock
PLUG,2022-05-12,open30,2022-05-12 09:40:00-04:00,True,1.3531385,1.22455,0.10500877873504555,8.0,0.0007884466943963085,0.08116928691121532,1.2839872814781241,100.0,0.08214033227288775,0.016755866026219222,-0.08338635427972596,20.0,,,,,,,,,38.0,71.42857142857143,-0.4252136752136752,5.0,-0.0289962825278809,1.863424353079836,0.4830727688030071,-0.5925117004680186,True,4575.0,-0.0275650842266463,0.0398162327718223,0 days 00:59:00,A,Medium,GapFade_weakstock
ATER,2022-05-12,open30,2022-05-12 09:33:00-04:00,True,2.09122,2.25195,-0.07137369835031859,8.0,0.004137097051644302,0.03857084402639823,-1.9577169571472854,50.0,0.047735361853583624,-0.008624508573597311,0.13881514071152234,100.0,,,,,,,,,31.0,100.0,-0.4937833037300177,7.0,-0.0701754385964912,0.2972977939630349,0.6614065825384454,-0.6349862258953168,True,4575.0,-0.0490566037735849,0.1169811320754717,0 days 00:38:00,A,Medium,GapFade_weakstock
