expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,net_pnl,news_type,tags,setup_type,underlying_price,hold_window,trade_idx
2025-05-09,NVDA,111.0,call,695,55,43,50,69,3.35,3.3,50,2025-05-06T12:11:14.968,3.325,0.050000000000000266,0.015037593984962485,True,2025-05-09,3,-0.0175252257036644,ATM,1.980000000000004,3.325,3.35,3.95,3.85,0.18796992481203006,0.14925373134328357,0.038716193468746496,2.0,3.0,509,0.01826591874904069,0.6282,-0.3501,3.9638,0.5847,0.5453,11.428571428571427,3.571428571428571,5.7142857142857135,7.5,28.21428571428571,6,2025-05-06,2025-05-06 12:11:15,1,10897,,"news,[VPN],[US]",news,112.98,30,2686
2025-05-09,NVDA,110.0,call,116,670,65,50,43,4.05,3.95,50,2025-05-06T12:11:14.983,4.0,0.09999999999999964,0.02499999999999991,True,2025-05-09,3,-0.02637634979642418,ITM,2.980000000000004,4.0,4.05,4.67,4.6,0.16749999999999998,0.13580246913580243,0.03169753086419755,2.0,3.0,472,0.01525970998115862,0.6928,-0.3278,3.6831,0.6421,0.5472,5.7142857142857135,10.714285714285714,2.8571428571428568,7.5,26.785714285714285,7,2025-05-06,2025-05-06 12:11:15,1,10897,,"news,[VPN],[US]",news,112.98,30,2686
2025-05-02,IONQ,29.5,call,313,157,9,50,65,0.36,0.3,50,2025-05-02T10:22:17.311,0.32999999999999996,0.06,0.18181818181818182,True,2025-05-02,0,-0.015025041736227021,ATM,0.4499999999999993,0.32999999999999996,0.36,0.55,0.39,0.666666666666667,0.08333333333333341,0.5833333333333336,4.0,4.0,43,0.2885095946114222,0.3981,-0.8585,0.2858,0.0072,1.4078,40.0,25.0,10.0,7.5,82.5,1,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,5,2705
2025-05-02,IONQ,30.0,call,49,249,42,50,65,0.2,0.15,50,2025-05-02T10:22:21.941,0.175,0.05000000000000002,0.2857142857142858,True,2025-05-02,0,0.0016694490818030287,ATM,0.05000000000000071,0.175,0.2,0.29,0.2,0.6571428571428571,0.0,0.6571428571428571,4.0,2.0,226,0.447041847041847,0.2597,-0.8106,0.2401,0.0047,1.5828,20.0,12.5,20.0,7.5,60.0,2,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,5,2705
2025-05-02,IONQ,30.0,call,49,249,42,50,65,0.2,0.15,50,2025-05-02T10:22:21.941,0.175,0.05000000000000002,0.2857142857142858,True,2025-05-02,0,0.0016694490818030287,ATM,0.05000000000000071,0.175,0.2,0.9,0.65,4.142857142857143,2.25,1.8928571428571432,13.0,14.0,682,0.41260600094529143,0.2597,-0.8106,0.2401,0.0047,1.5828,40.0,12.5,20.0,7.5,80.0,1,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,15,2705
2025-05-02,IONQ,29.5,call,313,157,9,50,65,0.36,0.3,50,2025-05-02T10:22:17.311,0.32999999999999996,0.06,0.18181818181818182,True,2025-05-02,0,-0.015025041736227021,ATM,0.4499999999999993,0.32999999999999996,0.36,1.08,0.97,2.2727272727272734,1.6944444444444444,0.578282828282829,14.0,14.0,88,0.2847226436139838,0.3981,-0.8585,0.2858,0.0072,1.4078,20.0,25.0,10.0,7.5,62.5,2,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,15,2705
2025-05-02,IONQ,30.0,call,49,249,42,50,65,0.2,0.15,50,2025-05-02T10:22:21.941,0.175,0.05000000000000002,0.2857142857142858,True,2025-05-02,0,0.0016694490818030287,ATM,0.05000000000000071,0.175,0.2,0.9,0.77,4.142857142857143,2.85,1.2928571428571431,13.0,26.0,773,0.3613329948792182,0.2597,-0.8106,0.2401,0.0047,1.5828,40.0,12.5,20.0,7.5,80.0,1,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,30,2705
2025-05-02,IONQ,29.5,call,313,157,9,50,65,0.36,0.3,50,2025-05-02T10:22:17.311,0.32999999999999996,0.06,0.18181818181818182,True,2025-05-02,0,-0.015025041736227021,ATM,0.4499999999999993,0.32999999999999996,0.36,1.2,1.14,2.6363636363636367,2.1666666666666665,0.46969696969697017,29.0,26.0,266,0.26294614310678305,0.3981,-0.8585,0.2858,0.0072,1.4078,20.0,25.0,10.0,7.5,62.5,2,2025-05-02,2025-05-02 10:22:22,1,8443,,"news,[VPN],[US]",news,29.95,30,2705
2025-05-02,INTC,20.5,call,20,201,60,50,1,0.23,0.22,50,2025-05-01T11:17:28.872,0.225,0.010000000000000009,0.04444444444444448,True,2025-05-02,1,0.0034263338228096075,ATM,0.07000000000000028,0.225,0.23,0.34,0.29,0.5111111111111112,0.2608695652173912,0.25024154589372,1.0,4.0,3352,0.06315169434226056,0.4145,-0.1171,0.4536,0.0269,0.6125,40.0,25.0,20.0,7.5,92.5,1,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,5,2719
2025-05-02,INTC,20.0,call,7,10,60,50,7,0.53,0.52,50,2025-05-01T11:17:28.160,0.525,0.010000000000000009,0.019047619047619063,True,2025-05-02,1,-0.02104747919725892,ITM,0.4299999999999997,0.525,0.53,0.67,0.6,0.2761904761904762,0.1320754716981131,0.1441150044923631,1.0,4.0,558,0.07488981181632552,0.6873,-0.1071,0.4121,0.0442,0.6125,20.0,12.5,10.0,7.5,50.0,2,2025-05-01,2025-05-01 11:17:29,1,6287,,"news,[VPN],[US]",news,20.43,5,2719
