expiration,symbol,strike,right,ask_size,bid_size,ask_exchange,ask_condition,bid_exchange,ask,bid,bid_condition,timestamp,mid,spread,spread_pct,is_primary,exp_date,dte,moneyness,moneyness_label,atm_dist,entry_mid,entry_ask,max_mid,max_bid,raw_return_pct,realistic_return_pct,spread_cost_pct,time_to_max_min,time_to_max_bid_min,volume_during_window,avg_spread_pct_window,delta,theta,vega,rho,implied_vol,target_0.5x_hit,target_0.5x_time_min,target_0.5x_option_bid,target_0.5x_option_return,target_1.0x_hit,target_1.0x_time_min,target_1.0x_option_bid,target_1.0x_option_return,target_1.5x_hit,target_1.5x_time_min,target_1.5x_option_bid,target_1.5x_option_return,return_score,spread_score,volume_score,oi_score,composite_score,rank,trade_date,entry_time,side,source,setup_type,trade_grade,cap,atr_pct,entry_offset,underlying_price,hold_window,target_0.5x_level,target_1.0x_level,target_1.5x_level,trade_idx
2020-11-13,NIO,53.0,put,7,35,65,50,31,1.32,1.25,50,2020-11-13T10:00:00.279,1.2850000000000001,0.07000000000000006,0.05447470817120627,True,2020-11-13,0,-0.0052664572095659536,ATM,0.28059999999999974,1.2850000000000001,1.32,8.0,6.7,5.225680933852139,4.075757575757575,1.149923358094564,59.0,60.0,3161,0.08598350161619366,-0.4392,-2.966,0.5507,-0.0169,2.6855,True,9.0,2.0,0.515151515151515,True,26.0,2.84,1.1515151515151514,True,37.0,3.7,1.8030303030303028,26.666666666666664,16.666666666666664,13.333333333333332,7.5,64.16666666666666,2,2020-11-13,2020-11-13 10:01:00,-1,reversal,2DBreakoutIB,B,Medium,0.0505,high+0,53.2806,60,51.93526485,50.5899297,49.24459455,180
2020-11-13,NIO,54.0,put,38,56,4,50,60,1.83,1.7,50,2020-11-13T10:00:00.094,1.7650000000000001,0.13000000000000012,0.07365439093484426,True,2020-11-13,0,0.013502100201574312,ATM,0.7194000000000003,1.7650000000000001,1.83,8.7,6.9,3.9291784702549566,2.7704918032786887,1.1586866669762679,60.0,59.0,985,0.12085646156228413,-0.5471,-2.8986,0.5532,-0.0211,2.6123,True,9.0,2.51,0.37158469945355177,True,26.0,3.5,0.9125683060109289,True,37.0,4.35,1.3770491803278686,13.333333333333332,8.333333333333332,6.666666666666666,7.5,35.83333333333333,3,2020-11-13,2020-11-13 10:01:00,-1,reversal,2DBreakoutIB,B,Medium,0.0505,high+0,53.2806,60,51.93526485,50.5899297,49.24459455,180
2020-11-13,NIO,52.0,put,59,66,60,50,60,0.98,0.88,50,2020-11-13T10:00:00.055,0.9299999999999999,0.09999999999999998,0.1075268817204301,True,2020-11-13,0,-0.02403501462070622,OTM,1.2805999999999997,0.9299999999999999,0.98,7.65,6.9,7.225806451612905,6.040816326530612,1.184990125082293,61.0,61.0,12700,0.04722048295508055,-0.3413,-2.8868,0.5125,-0.013,2.8085,True,9.0,1.47,0.5,True,26.0,2.16,1.2040816326530615,True,37.0,2.97,2.0306122448979593,40.0,25.0,20.0,7.5,92.5,1,2020-11-13,2020-11-13 10:01:00,-1,reversal,2DBreakoutIB,B,Medium,0.0505,high+0,53.2806,120,51.93526485,50.5899297,49.24459455,180
2020-11-13,NIO,53.0,put,7,35,65,50,31,1.32,1.25,50,2020-11-13T10:00:00.279,1.2850000000000001,0.07000000000000006,0.05447470817120627,True,2020-11-13,0,-0.0052664572095659536,ATM,0.28059999999999974,1.2850000000000001,1.32,8.7,7.75,5.770428015564201,4.871212121212121,0.8992158943520803,61.0,61.0,3435,0.05970776170972491,-0.4392,-2.966,0.5507,-0.0169,2.6855,True,9.0,2.0,0.515151515151515,True,26.0,2.84,1.1515151515151514,True,37.0,3.7,1.8030303030303028,26.666666666666664,16.666666666666664,13.333333333333332,7.5,64.16666666666666,2,2020-11-13,2020-11-13 10:01:00,-1,reversal,2DBreakoutIB,B,Medium,0.0505,high+0,53.2806,120,51.93526485,50.5899297,49.24459455,180
2020-11-13,NIO,54.0,put,38,56,4,50,60,1.83,1.7,50,2020-11-13T10:00:00.094,1.7650000000000001,0.13000000000000012,0.07365439093484426,True,2020-11-13,0,0.013502100201574312,ATM,0.7194000000000003,1.7650000000000001,1.83,8.75,7.9,3.957507082152974,3.3169398907103824,0.6405671914425914,61.0,64.0,1747,0.07912275260443072,-0.5471,-2.8986,0.5532,-0.0211,2.6123,True,9.0,2.51,0.37158469945355177,True,26.0,3.5,0.9125683060109289,True,37.0,4.35,1.3770491803278686,13.333333333333332,8.333333333333332,6.666666666666666,7.5,35.83333333333333,3,2020-11-13,2020-11-13 10:01:00,-1,reversal,2DBreakoutIB,B,Medium,0.0505,high+0,53.2806,120,51.93526485,50.5899297,49.24459455,180
2020-11-20,XPEV,50.0,put,20,7,9,50,60,5.45,5.2,50,2020-11-13T09:58:00.113,5.325,0.25,0.046948356807511735,True,2020-11-20,7,-0.019030802432803588,ATM,0.9699999999999989,5.325,5.45,7.0,6.75,0.31455399061032857,0.23853211009174308,0.0760218805185855,14.0,16.0,527,0.044836881034095055,-0.4173,-0.409,2.7536,-0.5097,2.0798,True,1.0,5.4,-0.009174311926605472,True,6.0,5.7,0.04587155963302752,True,14.0,6.45,0.18348623853211007,20.0,12.5,10.0,7.5,50.0,1,2020-11-13,2020-11-13 09:59:00,-1,reversal,2DBreakoutIB,B,Medium,0.0454,high+0,50.97,30,49.812981,48.655962,47.498943,181
2020-11-20,XPEV,50.0,put,20,7,9,50,60,5.45,5.2,50,2020-11-13T09:58:00.113,5.325,0.25,0.046948356807511735,True,2020-11-20,7,-0.019030802432803588,ATM,0.9699999999999989,5.325,5.45,10.1,9.75,0.896713615023474,0.7889908256880733,0.10772278933540069,52.0,54.0,872,0.044178454268138885,-0.4173,-0.409,2.7536,-0.5097,2.0798,True,1.0,5.4,-0.009174311926605472,True,6.0,5.7,0.04587155963302752,True,14.0,6.45,0.18348623853211007,20.0,12.5,10.0,7.5,50.0,1,2020-11-13,2020-11-13 09:59:00,-1,reversal,2DBreakoutIB,B,Medium,0.0454,high+0,50.97,60,49.812981,48.655962,47.498943,181
2020-11-20,XPEV,50.0,put,20,7,9,50,60,5.45,5.2,50,2020-11-13T09:58:00.113,5.325,0.25,0.046948356807511735,True,2020-11-20,7,-0.019030802432803588,ATM,0.9699999999999989,5.325,5.45,10.1,9.8,0.896713615023474,0.798165137614679,0.09854847740879502,52.0,61.0,1126,0.04143925935734417,-0.4173,-0.409,2.7536,-0.5097,2.0798,True,1.0,5.4,-0.009174311926605472,True,6.0,5.7,0.04587155963302752,True,14.0,6.45,0.18348623853211007,20.0,12.5,10.0,7.5,50.0,1,2020-11-13,2020-11-13 09:59:00,-1,reversal,2DBreakoutIB,B,Medium,0.0454,high+0,50.97,120,49.812981,48.655962,47.498943,181
2020-08-28,NVAX,100.0,call,86,56,60,50,1,8.4,5.75,50,2020-08-25T09:32:02.432,7.075,2.6500000000000004,0.37455830388692585,True,2020-08-28,3,-0.006458022851465531,ATM,0.6500000000000057,7.075,8.4,11.9,10.2,0.6819787985865724,0.21428571428571416,0.4676930843008582,28.0,30.0,69,0.17318210958299898,0.5115,-1.1738,3.7235,0.3886,2.0607,True,8.0,7.65,-0.08928571428571429,False,,,,False,,,,20.0,25.0,17.5,7.5,70.0,1,2020-08-25,2020-08-25 09:33:00,1,bounce,3DGapFade_strongstock,B,Medium,0.095577457,low+0,100.65,30,105.459935523525,110.26987104705,115.079806570575,183
2020-08-28,NVAX,99.0,call,51,74,9,50,5,8.8,5.85,50,2020-08-25T09:32:03.486,7.325,2.950000000000001,0.4027303754266213,True,2020-08-28,3,-0.016393442622950876,ATM,1.6500000000000057,7.325,8.8,9.85,10.9,0.3447098976109214,0.23863636363636356,0.10607353397455785,4.0,30.0,10,0.24052334934114258,0.5308,-1.1412,3.7139,0.4035,2.0087,True,8.0,8.2,-0.06818181818181834,False,,,,False,,,,35.0,15.625,10.0,7.5,68.125,2,2020-08-25,2020-08-25 09:33:00,1,bounce,3DGapFade_strongstock,B,Medium,0.095577457,low+0,100.65,30,105.459935523525,110.26987104705,115.079806570575,183
2020-08-28,NVAX,101.0,call,52,61,43,50,5,7.8,5.0,50,2020-08-25T09:32:03.400,6.4,2.8,0.43749999999999994,True,2020-08-28,3,0.003477396920019814,ATM,0.3499999999999943,6.4,7.8,10.0,9.3,0.5624999999999999,0.19230769230769243,0.3701923076923075,15.0,30.0,43,0.21182881543712487,0.4883,-1.1362,3.7235,0.3742,1.9948,True,8.0,7.1,-0.08974358974358977,False,,,,False,,,,15.0,21.875,15.0,7.5,59.375,3,2020-08-25,2020-08-25 09:33:00,1,bounce,3DGapFade_strongstock,B,Medium,0.095577457,low+0,100.65,30,105.459935523525,110.26987104705,115.079806570575,183
